date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,sym_state,exp_num,exp_subrun,stand_beetag,peg_beetag,exp_1_beetag,exp_run_full,beetag_exprun,jar_unique_ID,temp,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,treat_ID_full,N_species,N_dose,N_species_dose,control_or_nutrient,temp,food,sym_state,food_sym_state
06_29_22,06_30_22,168,G,168G,115,9,APO,1,A,B27,G53,B27G53,1A,B27G53_exp1A,4,30,0.211,0.313,0.102,0.483412322,-2.282782466,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_22_22,06_24_22,150,E,150E,101,10,APO,1,A,B27,G54,B27G54,1A,B27G54_exp1A,4,30,0.112,0.545,0.433,3.866071429,-0.837017551,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_22_22,06_23_22,142,H,142H,97,8,SYM,1,A,B27,G55,B27G55,1A,B27G55_exp1A,4,30,0.44,0.569,0.129,0.293181818,-2.047942875,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_22_22,06_24_22,147,F,147F,100,12,SYM,1,A,B27,G56,B27G56,1A,B27G56_exp1A,4,30,0.437,0.494,0.057,0.130434783,-2.864704011,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_22_22,06_24_22,153,Q,153Q,105,5,SYM,1,A,B27,G57,B27G57,1A,B27G57_exp1A,4,30,0.453,0.275,-0.178,-0.392935982,-1.725971729,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_22_22,06_25_22,162,F,162F,111,2,APO,1,A,B30,G72,B30G72,1A,B30G72_exp1A,5,30,0.17,0.306,0.136,0.8,-1.995100393,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_22_22,06_24_22,151,G,151G,102,13,APO,1,A,B30,G73,B30G73,1A,B30G73_exp1A,5,30,0.375,0.424,0.049,0.130666667,-3.015934981,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_22_22,06_24_22,152,A,152A,103,2,SYM,1,A,B30,G74,B30G74,1A,B30G74_exp1A,5,30,0.338,0.463,0.125,0.369822485,-2.079441542,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_22_22,06_24_22,154,F,154F,106,1,SYM,1,A,B30,G75,B30G75,1A,B30G75_exp1A,5,30,0.342,0.317,-0.025,-0.073099415,-3.688879454,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_22_22,06_24_22,157,U,157U,108,5,SYM,1,A,B30,G76,B30G76,1A,B30G76_exp1A,5,30,0.262,0.547,0.285,1.08778626,-1.255266099,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_22_22,06_24_22,160,F,160F,110,4,APO,1,B,B22,G27,B22G27,1B,B22G27_exp1B,34,20,0.196,0.345,0.149,0.760204082,-1.903808973,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,169,J,169J,116,14,APO,1,B,B22,G28,B22G28,1B,B22G28_exp1B,34,20,0.211,0.349,0.138,0.654028436,-1.980501594,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,183,A,183A,125,6,APO,1,B,B22,G29,B22G29,1B,B22G29_exp1B,34,20,0.17,0.383,0.213,1.252941176,-1.546463113,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_22_22,06_24_22,160,C,160C,110,1,SYM,1,B,B22,G30,B22G30,1B,B22G30_exp1B,34,20,0.422,0.565,0.143,0.338862559,-1.944910649,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,06_30_22,171,P,171P,119,5,SYM,1,B,B22,G31,B22G31,1B,B22G31_exp1B,34,20,0.384,0.58,0.196,0.510416667,-1.62964062,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_22_22,06_25_22,166,D,166D,112,14,APO,1,B,B23,G33,B23G33,1B,B23G33_exp1B,35,20,0.244,0.367,0.123,0.504098361,-2.095570924,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,171,A,171A,118,6,APO,1,B,B23,G34,B23G34,1B,B23G34_exp1B,35,20,0.092,0.486,0.394,4.282608696,-0.93140437,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,184,B,184B,125,16,APO,1,B,B23,G35,B23G35,1B,B23G35_exp1B,35,20,0.368,0.537,0.169,0.45923913,-1.777856564,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_22_22,06_25_22,164,A,164A,111,13,SYM,1,B,B23,G36,B23G36,1B,B23G36_exp1B,35,20,0.405,0.333,-0.072,-0.177777778,-2.63108916,N_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,172,D,172D,120,3,SYM,1,B,B23,G37,B23G37,1B,B23G37_exp1B,35,20,0.395,0.423,0.028,0.070886076,-3.575550769,N_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_22_22,06_25_22,164,G,164G,112,3,APO,1,B,B29,G64,B29G64,1B,B29G64_exp1B,39,30,0.371,0.185,-0.186,-0.501347709,-1.682008605,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,170,G,170G,117,10,APO,1,B,B29,G65,B29G65,1B,B29G65_exp1B,39,30,0.348,0.342,-0.006,-0.017241379,-5.11599581,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,183,E,183E,125,10,APO,1,B,B29,G67,B29G67,1B,B29G67_exp1B,39,30,0.212,0.018,-0.194,-0.91509434,-1.63989712,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_22_22,06_24_22,161,C,161C,110,10,SYM,1,B,B29,G70,B29G70,1B,B29G70_exp1B,39,30,0.232,0.464,0.232,1,-1.461017907,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,171,U,171U,119,10,SYM,1,B,B29,G71,B29G71,1B,B29G71_exp1B,39,30,0.376,0.491,0.115,0.305851064,-2.162823151,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_22_22,06_25_22,166,L,166L,113,6,APO,1,B,B32,G83,B32G83,1B,B32G83_exp1B,40,30,0.23,0.254,0.024,0.104347826,-3.729701449,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,171,L,171L,119,1,APO,1,B,B32,G84,B32G84,1B,B32G84_exp1B,40,30,0.351,0.393,0.042,0.11965812,-3.170085661,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,184,F,184F,126,4,APO,1,B,B32,G85,B32G85,1B,B32G85_exp1B,40,30,0.203,0.208,0.005,0.024630542,-5.298317367,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_22_22,06_25_22,164,E,164E,112,1,SYM,1,B,B32,G87,B32G87,1B,B32G87_exp1B,40,30,0.353,0.134,-0.219,-0.620396601,-1.518683549,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,06_30_22,172,H,172H,120,7,SYM,1,B,B32,G88,B32G88,1B,B32G88_exp1B,40,30,0.396,0.517,0.121,0.305555556,-2.111964733,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,06_30_22,175,D,175D,121,14,SYM,2,A,B13,G10,B13G10,2A,B13G10_exp2A,65,20,0.475,0.163,-0.312,-0.656842105,-1.164752091,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_01_22,206,E,206E,137,1,SYM,2,A,B13,G13,B13G13,2A,B13G13_exp2A,65,20,0.537,0.28,-0.257,-0.47858473,-1.358679194,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,06_30_22,174,A,174A,121,1,APO,2,A,B13,G2,B13G2,2A,B13G2_exp2A,65,20,0.448,0.09,-0.358,-0.799107143,-1.027222293,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,07_01_22,199,A,199A,134,7,APO,2,A,B13,G3,B13G3,2A,B13G3_exp2A,65,20,0.232,0.134,-0.098,-0.422413793,-2.3227878,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,07_07_22,226,K,226K,148,4,APO,2,A,B13,G8,B13G8,2A,B13G8_exp2A,65,20,0.455,0.411,-0.044,-0.096703297,-3.123565645,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,07_01_22,207,G,207G,137,15,SYM,2,A,B22,G27,B22G27,2A,B22G27_exp2A,66,20,0.432,0.561,0.129,0.298611111,-2.047942875,N_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,187,B,187B,128,7,APO,2,A,B22,G28,B22G28,2A,B22G28_exp2A,66,20,0.247,0.52,0.273,1.105263158,-1.298283484,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,07_01_22,202,C,202C,135,14,APO,2,A,B22,G29,B22G29,2A,B22G29_exp2A,66,20,0.468,0.139,-0.329,-0.702991453,-1.111697528,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,07_07_22,228,G,228G,149,6,APO,2,A,B22,G30,B22G30,2A,B22G30_exp2A,66,20,0.153,0.569,0.416,2.718954248,-0.877070019,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,186,G,186G,128,1,SYM,2,A,B22,G31,B22G31,2A,B22G31_exp2A,66,20,0.487,0.44,-0.047,-0.09650924,-3.057607677,N_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,174,I,174I,121,9,APO,2,A,B25,G43,B25G43,2A,B25G43_exp2A,69,30,0.353,0.178,-0.175,-0.495750708,-1.742969305,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,07_01_22,201,G,201G,135,6,APO,2,A,B25,G44,B25G44,2A,B25G44_exp2A,69,30,0.467,0.485,0.018,0.038543897,-4.017383521,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,07_07_22,226,O,226O,148,8,APO,2,A,B25,G45,B25G45,2A,B25G45_exp2A,69,30,0.36,0.282,-0.078,-0.216666667,-2.551046452,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,185,H,185H,127,7,SYM,2,A,B25,G46,B25G46,2A,B25G46_exp2A,69,30,0.447,0.402,-0.045,-0.100671141,-3.101092789,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_01_22,206,K,206K,137,7,SYM,2,A,B25,G47,B25G47,2A,B25G47_exp2A,69,30,0.237,0.485,0.248,1.046413502,-1.394326533,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,193,B,193B,130,5,APO,2,A,B26,G48,B26G48,2A,B26G48_exp2A,70,30,0.484,0.057,-0.427,-0.882231405,-0.850971266,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,07_01_22,206,B,206B,136,14,APO,2,A,B26,G49,B26G49,2A,B26G49_exp2A,70,30,0.369,0.398,0.029,0.078590786,-3.540459449,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,07_07_22,230,C,230C,150,2,APO,2,A,B26,G50,B26G50,2A,B26G50_exp2A,70,30,0.374,0.523,0.149,0.398395722,-1.903808973,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,196,P,196P,132,9,SYM,2,A,B26,G51,B26G51,2A,B26G51_exp2A,70,30,0.521,0.484,-0.037,-0.071017274,-3.296837366,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,07_05_22,208,F,208F,139,6,SYM,2,A,B26,G52,B26G52,2A,B26G52_exp2A,70,30,0.019,0.509,0.49,25.78947368,-0.713349888,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_22_22,06_24_22,149,D,149D,101,3,APO,2,B,B14,G14,B14G14,2B,B14G14_exp2B,97,20,0.562,0.361,-0.201,-0.357651246,-1.604450371,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,184,I,184I,126,7,APO,2,B,B14,G15,B14G15,2B,B14G15_exp2B,97,20,0.53,0.51,-0.02,-0.037735849,-3.912023005,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_22_22,06_24_22,159,D,159D,109,13,SYM,2,B,B14,G17,B14G17,2B,B14G17_exp2B,97,20,0.402,0.362,-0.04,-0.099502488,-3.218875825,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_01_22,202,D,202D,135,15,SYM,2,B,B14,G20,B14G20,2B,B14G20_exp2B,97,20,0.56,0.157,-0.403,-0.719642857,-0.908818717,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_07_22,223,D,223D,145,14,SYM,2,B,B14,G21,B14G21,2B,B14G21_exp2B,97,20,0.544,0.569,0.025,0.045955882,-3.688879454,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,06_30_22,169,I,169I,116,13,APO,2,B,B15,G22,B15G22,2B,B15G22_exp2B,98,20,0.528,0.47,-0.058,-0.109848485,-2.847312268,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,07_01_22,203,C,203C,136,2,APO,2,B,B15,G23,B15G23,2B,B15G23_exp2B,98,20,0.432,0.37,-0.062,-0.143518519,-2.780620894,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,180,A,180A,123,15,SYM,2,B,B15,G24,B15G24,2B,B15G24_exp2B,98,20,0.509,0.581,0.072,0.141453831,-2.63108916,N_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_05_22,208,A,208A,139,1,SYM,2,B,B15,G25,B15G25,2B,B15G25_exp2B,98,20,0.505,0.587,0.082,0.162376238,-2.501036032,N_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_07_22,224,A,224A,146,6,SYM,2,B,B15,G26,B15G26,2B,B15G26_exp2B,98,20,0.562,0.592,0.03,0.053380783,-3.506557897,N_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,167,Z,167Z,115,1,APO,2,B,B31,G77,B31G77,2B,B31G77_exp2B,101,30,0.325,0.279,-0.046,-0.141538462,-3.079113882,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,195,B,195B,131,5,APO,2,B,B31,G78,B31G78,2B,B31G78_exp2B,101,30,0.542,0.376,-0.166,-0.306273063,-1.795767491,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,174,F,174F,121,6,SYM,2,B,B31,G79,B31G79,2B,B31G79_exp2B,101,30,0.529,0.453,-0.076,-0.143667297,-2.577021939,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_01_22,206,C,206C,136,15,SYM,2,B,B31,G80,B31G80,2B,B31G80_exp2B,101,30,0.546,0.205,-0.341,-0.624542125,-1.075872802,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_07_22,223,H,223H,146,2,SYM,2,B,B31,G82,B31G82,2B,B31G82_exp2B,101,30,0.553,0.472,-0.081,-0.146473779,-2.513306124,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,170,B,170B,117,5,APO,2,B,B32,G83,B32G83,2B,B32G83_exp2B,102,30,0.525,0.434,-0.091,-0.173333333,-2.396895772,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,07_05_22,211,B,211B,140,16,APO,2,B,B32,G84,B32G84,2B,B32G84_exp2B,102,30,0.467,0.454,-0.013,-0.027837259,-4.342805922,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,188,D,188D,129,4,SYM,2,B,B32,G85,B32G85,2B,B32G85_exp2B,102,30,0.564,0.469,-0.095,-0.168439716,-2.353878387,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,07_05_22,208,I,208I,139,9,SYM,2,B,B32,G87,B32G87,2B,B32G87_exp2B,102,30,0.511,0.529,0.018,0.035225049,-4.017383521,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,07_07_22,225,H,225H,147,3,SYM,2,B,B32,G88,B32G88,2B,B32G88_exp2B,102,30,0.485,0.485,0,0,0,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
08_01_22,08_03_22,239,B,239B,160,6,SYM,3,A,B13,G10,B13G10,3A,B13G10_exp3A,129,20,0.545,0.591,0.046,0.08440367,-3.079113882,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
08_01_22,08_03_22,240,P,240P,162,10,SYM,3,A,B13,G13,B13G13,3A,B13G13_exp3A,129,20,0.491,0.343,-0.148,-0.301425662,-1.910543005,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_07_22,223,A,223A,145,11,APO,3,A,B13,G2,B13G2,3A,B13G2_exp3A,129,20,0.353,0.237,-0.116,-0.328611898,-2.154165088,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,08_02_22,237,E,237E,154,7,APO,3,A,B13,G3,B13G3,3A,B13G3_exp3A,129,20,0.496,0.342,-0.154,-0.310483871,-1.870802677,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,08_02_22,237,AT,237AT,156,16,APO,3,A,B13,G8,B13G8,3A,B13G8_exp3A,129,20,0.561,0.372,-0.189,-0.336898396,-1.666008264,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,08_03_22,241,A,241A,163,3,SYM,3,A,B22,G27,B22G27,3A,B22G27_exp3A,130,20,0.596,0.023,-0.573,-0.961409396,-0.556869562,N_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_07_22,227,C,227C,148,11,APO,3,A,B22,G28,B22G28,3A,B22G28_exp3A,130,20,0.329,0.408,0.079,0.240121581,-2.538307427,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,08_02_22,237,O,237O,155,1,APO,3,A,B22,G29,B22G29,3A,B22G29_exp3A,130,20,0.343,0.197,-0.146,-0.425655977,-1.924148657,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,08_02_22,237,BB,237BB,157,8,APO,3,A,B22,G30,B22G30,3A,B22G30_exp3A,130,20,0.532,0.515,-0.017,-0.031954887,-4.074541935,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,08_03_22,239,K,239K,160,15,SYM,3,A,B22,G31,B22G31,3A,B22G31_exp3A,130,20,0.571,0.02,-0.551,-0.96497373,-0.59602047,N_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_07_22,226,B,226B,147,11,APO,3,A,B25,G43,B25G43,3A,B25G43_exp3A,133,30,0.509,0.249,-0.26,-0.510805501,-1.347073648,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_02_22,237,J,237J,154,12,APO,3,A,B25,G44,B25G44,3A,B25G44_exp3A,133,30,0.303,0.485,0.182,0.600660066,-1.703748592,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_02_22,237,AX,237AX,157,4,APO,3,A,B25,G45,B25G45,3A,B25G45_exp3A,133,30,0.427,0.421,-0.006,-0.014051522,-5.11599581,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_03_22,239,G,239G,160,11,SYM,3,A,B25,G46,B25G46,3A,B25G46_exp3A,133,30,0.523,0.513,-0.01,-0.019120459,-4.605170186,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,08_03_22,240,T,240T,162,14,SYM,3,A,B25,G47,B25G47,3A,B25G47_exp3A,133,30,0.416,0.386,-0.03,-0.072115385,-3.506557897,N_0_30_F_S,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_07_22,229,E,229E,149,15,APO,3,A,B26,G48,B26G48,3A,B26G48_exp3A,134,30,0.548,0.358,-0.19,-0.346715328,-1.660731207,N_0_30_F_A,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_02_22,237,T,237T,155,6,APO,3,A,B26,G49,B26G49,3A,B26G49_exp3A,134,30,0.35,0.389,0.039,0.111428571,-3.244193633,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
08_01_22,08_02_22,237,BF,237BF,157,12,APO,3,A,B26,G50,B26G50,3A,B26G50_exp3A,134,30,0.3,0.437,0.137,0.456666667,-1.987774353,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
08_01_22,08_03_22,239,Q,239Q,161,5,SYM,3,A,B26,G51,B26G51,3A,B26G51_exp3A,134,30,0.518,0.513,-0.005,-0.00965251,-5.298317367,N_0_30_S_A,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
08_01_22,08_03_22,241,E,241E,163,7,SYM,3,A,B26,G52,B26G52,3A,B26G52_exp3A,134,30,0.541,0.55,0.009,0.01663586,-4.710530702,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_22_28,07_31_28,235,G,235G,153,7,APO,3,A,B28,G58,B28G58,3A,B28G58_exp3A,135,30,0.448,0.477,0.029,0.064732143,-3.540459449,N_0_30_S_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
08_01_22,08_03_22,238,K,238K,159,5,APO,3,B,O1,B1,O1B1,3B,O1B1_exp3B,161,20,0.318,0.436,0.118,0.371069182,-2.137070655,N_0_20_F_A,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,08_03_22,242,T,242T,166,1,APO,3,B,O1,B2,O1B2,3B,O1B2_exp3B,161,20,0.422,0.442,0.02,0.047393365,-3.912023005,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,8_05_22,251,F,251F,172,7,SYM,3,B,O1,B3,O1B3,3B,O1B3_exp3B,161,20,0.481,0.396,-0.085,-0.176715177,-2.465104022,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
08_01_22,8_05_22,245,J,245J,169,5,SYM,3,B,O1,B4,O1B4,3B,O1B4_exp3B,161,20,0.558,0.14,-0.418,-0.749103943,-0.872273846,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
08_01_22,8_06_22,256,B,256B,177,4,SYM,3,B,O1,B5,O1B5,3B,O1B5_exp3B,161,20,0.139,0.585,0.446,3.208633094,-0.807436327,N_0_20_F_S,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
08_01_22,8_05_22,249,F,249F,171,4,SYM,3,B,O2,B10,O2B10,3B,O2B10_exp3B,169,20,0.553,0.337,-0.216,-0.390596745,-1.532476871,N_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,8_05_22,252,P,252P,173,1,SYM,3,B,O2,B11,O2B11,3B,O2B11_exp3B,169,20,0.539,0.583,0.044,0.081632653,-3.123565645,N_0_20_S_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,8_06_22,257,E,257E,177,16,SYM,3,B,O2,B12,O2B12,3B,O2B12_exp3B,169,20,0.575,0.042,-0.533,-0.926956522,-0.629233855,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,08_03_22,238,T,238T,159,14,APO,3,B,O2,B7,O2B7,3B,O2B7_exp3B,169,20,0.301,0.353,0.052,0.172757475,-2.95651156,N_0_20_S_A,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
