exp_num,subrun,exp_run_full,N_species,N_dose,control_or_nutrient,N_species_dose,temp,food,sym_state,food_sym_state,col_num,treat_ID,beetag,beetag_exprun,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_percent_change,red_delta
2,A,2A,N,0,control,N_0,20,F,A,F_A,226,CNTRL_20_F_A,B13G8,B13G8_exp2A,1,B13G8_day1_exp2A,B13G8_2A_day1.JPG,0.47674,B13G8_day11_exp2A,B13G8_2A_day11.JPG,0.46312,-0.028569031,-0.01362
2,A,2A,N,0,control,N_0,20,F,A,F_A,174,CNTRL_20_F_A,B13G2,B13G2_exp2A,1,B13G2_day1_exp2A,B13G2_2A_day1.JPG,0.37049,B13G2_day11_exp2A,B13G2_2A_day11.JPG,0.35824,-0.03306432,-0.01225
2,A,2A,N,0,control,N_0,20,F,A,F_A,199,CNTRL_20_F_A,B13G3,B13G3_exp2A,1,B13G3_day1_exp2A,B13G3_2A_day1.JPG,0.34904,B13G3_day11_exp2A,B13G3_2A_day11.JPG,0.33167,-0.04976507,-0.01737
2,A,2A,N,0,control,N_0,20,F,S,F_S,175,CNTRL_20_F_S,B13G10,B13G10_exp2A,1,B13G10_day1_exp2A,B13G10_2A_day1.JPG,0.34379,B13G10_day11_exp2A,B13G10_2A_day11.JPG,0.38114,0.108641903,0.03735
2,A,2A,N,0,control,N_0,20,F,S,F_S,206,CNTRL_20_F_S,B13G13,B13G13_exp2A,1,B13G13_day1_exp2A,B13G13_2A_day1.JPG,0.33703,B13G13_day11_exp2A,B13G13_2A_day11.JPG,0.29844,-0.114500193,-0.03859
2,A,2A,N,0,control,N_0,20,S,A,S_A,187,CNTRL_20_S_A,B22G28,B22G28_exp2A,1,B22G28_day1_exp2A,B22G27_2A_day1.JPG,0.39534,B22G28_day11_exp2A,B22G28_2A_day11.JPG,0.3961,0.001922396,0.00076
2,A,2A,N,0,control,N_0,20,S,A,S_A,202,CNTRL_20_S_A,B22G29,B22G29_exp2A,1,B22G29_day1_exp2A,B22G28_2A_day1.JPG,0.40726,B22G29_day11_exp2A,B22G29_2A_day11.JPG,0.36489,-0.104036733,-0.04237
2,A,2A,N,0,control,N_0,20,S,A,S_A,228,CNTRL_20_S_A,B22G30,B22G30_exp2A,1,B22G30_day1_exp2A,B22G29_2A_day1.JPG,0.4506,B22G30_day11_exp2A,B22G30_2A_day11.JPG,0.27145,-0.397581003,-0.17915
2,A,2A,N,0,control,N_0,20,S,S,S_S,186,CNTRL_20_S_S,B22G31,B22G31_exp2A,1,B22G31_day1_exp2A,B22G31_2A_day1.JPG,0.38,B22G31_day11_exp2A,B22G31_2A_day11.JPG,0.42099,0.107868421,0.04099
2,A,2A,N,0,control,N_0,20,S,S,S_S,207,CNTRL_20_S_S,B22G27,B22G27_exp2A,1,B22G27_day1_exp2A,B2230_2A_day1.jpg,0.24244,B22G27_day11_exp2A,B22G27_2A_day11.JPG,0.35542,0.466012209,0.11298
2,A,2A,N,0,control,N_0,30,F,A,F_A,201,CNTRL_30_F_A,B25G44,B25G44_exp2A,1,B25G44_day1_exp2A,B25G44_2A_day1.JPG,0.45348,B25G44_day11_exp2A,B25G44_2A_day11.JPG,0.46088,0.01631825,0.0074
2,A,2A,N,0,control,N_0,30,F,A,F_A,226,CNTRL_30_F_A,B25G45,B25G45_exp2A,1,B25G45_day1_exp2A,B25G45_2A_day1.JPG,0.41058,B25G45_day11_exp2A,B25G45_2A_day11.JPG,0.45652,0.111890496,0.04594
2,A,2A,N,0,control,N_0,30,F,A,F_A,174,CNTRL_30_F_A,B25G43,B25G43_exp2A,1,B25G43_day1_exp2A,B25G43_2A_day1.JPG,0.17441,B25G43_day11_exp2A,B25G43_2A_day11.JPG,0.19778,0.13399461,0.02337
2,A,2A,N,0,control,N_0,30,F,S,F_S,206,CNTRL_30_F_S,B25G47,B25G47_exp2A,1,B25G47_day1_exp2A,B25G47_2A_day1.JPG,0.48027,B25G47_day11_exp2A,B25G47_2A_day11.JPG,0.48377,0.007287567,0.0035
2,A,2A,N,0,control,N_0,30,F,S,F_S,185,CNTRL_30_F_S,B25G46,B25G46_exp2A,1,B25G46_day1_exp2A,B25G46_2A_day1.JPG,0.40217,B25G46_day11_exp2A,B25G46_2A_day11.JPG,0.42216,0.049705348,0.01999
2,A,2A,N,0,control,N_0,30,S,A,S_A,230,CNTRL_30_S_A,B26G50,B26G50_exp2A,1,B26G50_day1_exp2A,B26G50_2A_day1.JPG,0.47404,B26G50_day11_exp2A,B26G50_2A_day11.JPG,0.47566,0.003417433,0.00162
2,A,2A,N,0,control,N_0,30,S,A,S_A,193,CNTRL_30_S_A,B26G48,B26G48_exp2A,1,B26G48_day1_exp2A,B26G48_2A_day1.JPG,0.33567,B26G48_day11_exp2A,B26G48_2A_day11.JPG,0.37642,0.121398993,0.04075
2,A,2A,N,0,control,N_0,30,S,A,S_A,206,CNTRL_30_S_A,B26G49,B26G49_exp2A,1,B26G49_day1_exp2A,B26G49_2A_day1.JPG,0.28401,B26G49_day11_exp2A,B26G49_2A_day11.JPG,0.23516,-0.172000986,-0.04885
2,A,2A,N,0,control,N_0,30,S,S,S_S,208,CNTRL_30_S_S,B26G52,B26G52_exp2A,1,B26G52_day1_exp2A,B26G52_2A_day1.JPG,0.44313,B26G52_day11_exp2A,B26G52_2A_day11.JPG,0.53961,0.217723918,0.09648
2,A,2A,N,0,control,N_0,30,S,S,S_S,196,CNTRL_30_S_S,B26G51,B26G51_exp2A,1,B26G51_day1_exp2A,B26G51_2A_day1.JPG,0.3323,B26G51_day11_exp2A,B26G51_2A_day11.JPG,0.40621,0.2224195,0.07391
2,B,2B,N,0,control,N_0,20,F,A,F_A,149,CNTRL_20_F_A,B14G14,B14G14_exp2B,1,B14G14_day1_exp2B,B14G14_2B_day1.JPG,0.47311,B14G14_day11_exp2B,B14G14_2B_day11.JPG,0.41061,-0.132104585,-0.0625
2,B,2B,N,0,control,N_0,20,F,A,F_A,184,CNTRL_20_F_A,B14G15,B14G15_exp2B,1,B14G15_day1_exp2B,B14G15_2B_day1.JPG,0.19077,B14G15_day11_exp2B,B14G15_2B_day11.JPG,0.18405,-0.035225664,-0.00672
2,B,2B,N,0,control,N_0,20,F,S,F_S,223,CNTRL_20_F_S,B14G21,B14G21_exp2B,1,B14G21_day1_exp2B,B14G21_2B_day1.JPG,0.53292,B14G21_day11_exp2B,B14G21_2B_day11.JPG,0.5227,-0.019177362,-0.01022
2,B,2B,N,0,control,N_0,20,F,S,F_S,202,CNTRL_20_F_S,B14G20,B14G20_exp2B,1,B14G20_day1_exp2B,B14G20_2B_day1.JPG,0.42969,B14G20_day11_exp2B,B14G20_2B_day11.JPG,0.47135,0.096953618,0.04166
2,B,2B,N,0,control,N_0,20,F,S,F_S,159,CNTRL_20_F_S,B14G17,B14G17_exp2B,1,B14G17_day1_exp2B,B14G17_2B_day1.JPG,0.23617,B14G17_day11_exp2B,B14G17_2B_day11.JPG,0.21962,-0.07007664,-0.01655
2,B,2B,N,0,control,N_0,20,S,A,S_A,203,CNTRL_20_S_A,B15G23,B15G23_exp2B,1,B15G23_day1_exp2B,B15G23_2B_day1.JPG,0.29725,B15G23_day11_exp2B,B15G23_2B_day11.JPG,0.33268,0.119192599,0.03543
2,B,2B,N,0,control,N_0,20,S,A,S_A,169,CNTRL_20_S_A,B15G22,B15G22_exp2B,1,B15G22_day1_exp2B,B15G22_2B_day1.JPG,0.28042,B15G22_day11_exp2B,B15G22_2B_day11.JPG,0.26732,-0.046715641,-0.0131
2,B,2B,N,0,control,N_0,20,S,S,S_S,180,CNTRL_20_S_S,B15G24,B15G24_exp2B,1,B15G24_day1_exp2B,B15G24_2B_day1.JPG,0.45545,B15G24_day11_exp2B,B15G24_2B_day11.JPG,0.39641,-0.129630036,-0.05904
2,B,2B,N,0,control,N_0,20,S,S,S_S,208,CNTRL_20_S_S,B15G25,B15G25_exp2B,1,B15G25_day1_exp2B,B15G25_2B_day1.JPG,0.32019,B15G25_day11_exp2B,B15G25_2B_day11.JPG,0.35056,0.094849933,0.03037
2,B,2B,N,0,control,N_0,20,S,S,S_S,224,CNTRL_20_S_S,B15G26,B15G26_exp2B,1,B15G26_day1_exp2B,B15G26_2B_day1.JPG,0.27313,B15G26_day11_exp2B,B15G26_2B_day11.JPG,0.3365,0.232014059,0.06337
2,B,2B,N,0,control,N_0,30,F,A,F_A,167,CNTRL_30_F_A,B31G77,B31G77_exp2B,1,B31G77_day1_exp2B,B31G77_2B_day1.JPG,0.39,B31G77_day11_exp2B,B31G77_2B_day11.JPG,0.42721,0.095410256,0.03721
2,B,2B,N,0,control,N_0,30,F,A,F_A,195,CNTRL_30_F_A,B31G78,B31G78_exp2B,1,B31G78_day1_exp2B,B31G78_2B_day1.JPG,0.27122,B31G78_day11_exp2B,B31G78_2B_day11.JPG,0.3297,0.215618317,0.05848
2,B,2B,N,0,control,N_0,30,F,S,F_S,174,CNTRL_30_F_S,B31G79,B31G79_exp2B,1,B31G79_day1_exp2B,B31G79_2B_day1.JPG,0.39306,B31G79_day11_exp2B,B31G79_2B_day11.JPG,0.43387,0.103826388,0.04081
2,B,2B,N,0,control,N_0,30,F,S,F_S,223,CNTRL_30_F_S,B31G82,B31G82_exp2B,1,B31G82_day1_exp2B,B31G82_2B_day1.JPG,0.32853,B31G82_day11_exp2B,B31G82_2B_day11.JPG,0.34418,0.047636441,0.01565
2,B,2B,N,0,control,N_0,30,F,S,F_S,206,CNTRL_30_F_S,B31G80,B31G80_exp2B,1,B31G80_day1_exp2B,B31G80_2B_day1.JPG,0.32891,B31G80_day11_exp2B,B31G80_2B_day11.JPG,0.31746,-0.034811955,-0.01145
2,B,2B,N,0,control,N_0,30,S,A,S_A,170,CNTRL_30_S_A,B32G83,B32G83_exp2B,1,B32G83_day1_exp2B,B32G83_2B_day1.JPG,0.58285,B32G83_day11_exp2B,B32G83_2B_day11.JPG,0.53902,-0.075199451,-0.04383
2,B,2B,N,0,control,N_0,30,S,A,S_A,211,CNTRL_30_S_A,B32G84,B32G84_exp2B,1,B32G84_day1_exp2B,B32G84_2B_day1.JPG,0.36421,B32G84_day11_exp2B,B32G84_2B_day11.JPG,0.3367,-0.075533346,-0.02751
2,B,2B,N,0,control,N_0,30,S,S,S_S,208,CNTRL_30_S_S,B32G87,B32G87_exp2B,1,B32G87_day1_exp2B,B32G87_2B_day1.JPG,0.3418,B32G87_day11_exp2B,B32G87_2B_day11.JPG,0.45654,0.335693388,0.11474
2,B,2B,N,0,control,N_0,30,S,S,S_S,225,CNTRL_30_S_S,B32G88,B32G88_exp2B,1,B32G88_day1_exp2B,B32G88_2B_day1.JPG,0.37495,B32G88_day11_exp2B,B32G88_2B_day11.JPG,0.36374,-0.02989732,-0.01121
2,B,2B,N,0,control,N_0,30,S,S,S_S,188,CNTRL_30_S_S,B32G85,B32G85_exp2B,1,B32G85_day1_exp2B,B32G85_2B_day1.JPG,0.30623,B32G85_day11_exp2B,B32G85_2B_day11.JPG,0.25203,-0.17699115,-0.0542
3,A,3A,N,0,control,N_0,20,F,A,F_A,223,CNTRL_20_F_A,B13G2,B13G2_exp3A,1,B13G2_day1_exp3A,B13G2_3A_day1.JPG,0.4608,B13G2_day11_exp3A,B13G2_3A_day11.JPG,0.4955,0.075303819,0.0347
3,A,3A,N,0,control,N_0,20,F,A,F_A,237,CNTRL_20_F_A,B13G8,B13G8_exp3A,1,B13G8_day1_exp3A,B13G8_3A_day1.JPG,0.3487,B13G8_day11_exp3A,B13G8_3A_day11.JPG,0.32924,-0.055807284,-0.01946
3,A,3A,N,0,control,N_0,20,F,A,F_A,237,CNTRL_20_F_A,B13G3,B13G3_exp3A,1,B13G3_day1_exp3A,B13G3_3A_day1.JPG,0.32118,B13G3_day11_exp3A,B13G3_3A_day11.JPG,0.29835,-0.071081636,-0.02283
3,A,3A,N,0,control,N_0,20,F,S,F_S,240,CNTRL_20_F_S,B13G13,B13G13_exp3A,1,B13G13_day1_exp3A,B13G13_3A_day1.JPG,0.4817,B13G13_day11_exp3A,B13G13_3A_day11.JPG,0.48027,-0.002968653,-0.00143
3,A,3A,N,0,control,N_0,20,F,S,F_S,239,CNTRL_20_F_S,B13G10,B13G10_exp3A,1,B13G10_day1_exp3A,B13G10_3A_day1.JPG,0.30376,B13G10_day11_exp3A,B13G10_3A_day11.JPG,0.27574,-0.092243877,-0.02802
3,A,3A,N,0,control,N_0,20,S,A,S_A,227,CNTRL_20_S_A,B22G28,B22G28_exp3A,1,B22G28_day1_exp3A,B22G28_3A_day1.JPG,0.33353,B22G28_day11_exp3A,B22G28_3A_day11.JPG,0.38307,0.148532366,0.04954
3,A,3A,N,0,control,N_0,20,S,A,S_A,237,CNTRL_20_S_A,B22G29,B22G29_exp3A,1,B22G29_day1_exp3A,B22G29_3A_day1.JPG,0.38848,B22G29_day11_exp3A,B22G29_3A_day11.JPG,0.34719,-0.106286038,-0.04129
3,A,3A,N,0,control,N_0,20,S,A,S_A,237,CNTRL_20_S_A,B22G30,B22G30_exp3A,1,B22G30_day1_exp3A,B22G30_3A_day1.JPG,0.4004,B22G30_day11_exp3A,B22G30_3A_day11.JPG,0.30212,-0.245454545,-0.09828
3,A,3A,N,0,control,N_0,20,S,S,S_S,241,CNTRL_20_S_S,B22G27,B22G27_exp3A,1,B22G27_day1_exp3A,B22G27_3A_day1.JPG,0.47463,B22G27_day11_exp3A,B22G27_3A_day11.JPG,0.43974,-0.073509892,-0.03489
3,A,3A,N,0,control,N_0,20,S,S,S_S,239,CNTRL_20_S_S,B22G31,B22G31_exp3A,1,B22G31_day1_exp3A,B22G31_3A_day1.JPG,0.39145,B22G31_day11_exp3A,B22G31_3A_day11.JPG,0.31579,-0.19328139,-0.07566
3,A,3A,N,0,control,N_0,30,F,A,F_A,226,CNTRL_30_F_A,B25G43,B25G43_exp3A,1,B25G43_day1_exp3A,B25G43_3A_day1.JPG,0.40382,B25G43_day11_exp3A,B25G43_3A_day11.JPG,0.45247,0.120474469,0.04865
3,A,3A,N,0,control,N_0,30,F,A,F_A,237,CNTRL_30_F_A,B25G45,B25G45_exp3A,1,B25G45_day1_exp3A,B25G45_3A_day1.JPG,0.42579,B25G45_day11_exp3A,B25G45_3A_day11.JPG,0.43869,0.030296625,0.0129
3,A,3A,N,0,control,N_0,30,F,A,F_A,237,CNTRL_30_F_A,B25G44,B25G44_exp3A,1,B25G44_day1_exp3A,B25G44_3A_day1.JPG,0.31611,B25G44_day11_exp3A,B25G44_3A_day11.JPG,0.35348,0.118218342,0.03737
3,A,3A,N,0,control,N_0,30,F,A,F_A,229,CNTRL_30_F_A,B26G48,B26G48_exp3A,1,B26G48_day1_exp3A,B26G48_3A_day1.JPG,0.2839,B26G48_day11_exp3A,B26G48_3A_day11.JPG,0.31509,0.109862628,0.03119
3,A,3A,N,0,control,N_0,30,F,S,F_S,240,CNTRL_30_F_S,B25G47,B25G47_exp3A,1,B25G47_day1_exp3A,B25G47_3A_day1.JPG,0.38025,B25G47_day11_exp3A,B25G47_3A_day11.JPG,0.49938,0.313293886,0.11913
3,A,3A,N,0,control,N_0,30,F,S,F_S,239,CNTRL_30_F_S,B25G46,B25G46_exp3A,1,B25G46_day1_exp3A,B25G46_3A_day1.JPG,0.35705,B25G46_day11_exp3A,B25G46_3A_day11.JPG,0.36119,0.011595015,0.00414
3,A,3A,N,0,control,N_0,30,S,A,S_A,239,CNTRL_30_S_A,B26G51,B26G51_exp3A,1,B26G51_day1_exp3A,B26G51_3A_day1.JPG,0.32396,B26G51_day11_exp3A,B26G51_3A_day11.JPG,0.42443,0.31013088,0.10047
3,A,3A,N,0,control,N_0,30,S,A,S_A,237,CNTRL_30_S_A,B26G50,B26G50_exp3A,1,B26G50_day1_exp3A,B26G50_3A_day1.JPG,0.3905,B26G50_day11_exp3A,B26G50_3A_day11.JPG,0.37068,-0.050755442,-0.01982
3,A,3A,N,0,control,N_0,30,S,A,S_A,237,CNTRL_30_S_A,B26G49,B26G49_exp3A,1,B26G49_day1_exp3A,B26G49_3A_day1.JPG,0.36487,B26G49_day11_exp3A,B26G49_3A_day11.JPG,0.34303,-0.059856935,-0.02184
