beetag_exprun,col_num,exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID_collapsed_controls,red_day1,red_day11,red_delta,resp_rate,e_coli_plate,PAM_avg_day1,PAM_avg_day11,PAM_delta,log_PAM_delta
B27G56_exp1A,147,1,A,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.37992,0.43284,0.05292,-0.0052,1,0.437,0.494,0.057,0.057
B25G46_exp2A,185,2,A,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.40217,0.42216,0.01999,-0.00865,0,0.447,0.402,-0.045,-0.045
B29G70_exp1B,161,1,B,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.3919,0.42047,0.02857,-0.00423,0,0.232,0.464,0.232,0.232
W1O3_exp3B,251,3,B,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.52119,0.36925,-0.15194,-0.00446,0,0.568,0.554,-0.014,-0.014
B25G46_exp3A,239,3,A,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.35705,0.36119,0.00414,-0.00517,1,0.523,0.513,-0.01,-0.01
B29G71_exp1B,171,1,B,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.39595,0.35835,-0.0376,-0.00298,1,0.376,0.491,0.115,0.115
W1O4_exp3B,245,3,B,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.37321,0.35693,-0.01628,-0.0051,1,0.047,0.384,0.337,0.337
B27G55_exp1A,142,1,A,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.38392,0.34999,-0.03393,NA,NA,0.44,0.569,0.129,0.129
B31G82_exp2B,223,2,B,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.32853,0.34418,0.01565,-0.00467,1,0.553,0.472,-0.081,-0.081
B31G80_exp2B,206,2,B,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.32891,0.31746,-0.01145,-0.00223,0,0.546,0.205,-0.341,-0.341
W1O2_exp3B,242,3,B,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.32316,0.25824,-0.06492,-0.00329,1,0.414,0.359,-0.055,-0.055
B32G83_exp2B,170,2,B,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.58285,0.53902,-0.04383,-0.00332,0,0.525,0.434,-0.091,-0.091
B26G50_exp2A,230,2,A,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.47404,0.47566,0.00162,NA,NA,0.374,0.523,0.149,0.149
W2O12_exp3B,243,3,B,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.51222,0.45898,-0.05324,NA,NA,0.556,0.575,0.019,0.019
B26G51_exp3A,239,3,A,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.32396,0.42443,0.10047,-0.00489,1,0.518,0.513,-0.005,-0.005
B32G83_exp1B,166,1,B,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.43159,0.42375,-0.00784,-0.00243,0,0.23,0.254,0.024,0.024
W2O7_exp3B,238,3,B,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.38724,0.38966,0.00242,-0.00787,0,0.419,0.536,0.117,0.117
B30G72_exp1A,162,1,A,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.385,0.38686,0.00186,-0.00244,1,0.17,0.306,0.136,0.136
B26G48_exp2A,193,2,A,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.33567,0.37642,0.04075,-0.00584,0,0.484,0.057,-0.427,-0.427
B26G50_exp3A,237,3,A,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.3905,0.37068,-0.01982,-0.0078,0,0.3,0.437,0.137,0.137
B32G85_exp1B,184,1,B,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.38687,0.34304,-0.04383,NA,NA,0.203,0.208,0.005,0.005
B26G49_exp3A,237,3,A,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.36487,0.34303,-0.02184,NA,NA,0.35,0.389,0.039,0.039
B32G84_exp2B,211,2,B,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.36421,0.3367,-0.02751,-0.00068,1,0.467,0.454,-0.013,-0.013
B30G73_exp1A,151,1,A,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.25324,0.28353,0.03029,-0.00178,0,0.375,0.424,0.049,0.049
B26G49_exp2A,206,2,A,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.28401,0.23516,-0.04885,-0.00219,1,0.369,0.398,0.029,0.029
B32G84_exp1B,171,1,B,N,0,CNTRL_0,30,S,A,S_A,CNTRL_30_S_A,0.20829,0.17896,-0.02933,-0.00247,1,0.351,0.393,0.042,0.042
B30G76_exp1A,157,1,A,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.67194,0.64003,-0.03191,-0.00492,1,0.262,0.547,0.285,0.285
W2O11_exp3B,252,3,B,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.50221,0.62569,0.12348,-0.00215,1,0.472,0.221,-0.251,-0.251
B30G75_exp1A,154,1,A,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.49667,0.59377,0.0971,-0.00328,0,0.342,0.317,-0.025,-0.025
B26G52_exp2A,208,2,A,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.44313,0.53961,0.09648,-0.00346,1,0.019,0.509,0.49,0.49
B32G87_exp1B,164,1,B,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.49733,0.53835,0.04102,-0.00305,0,0.353,0.134,-0.219,-0.219
B30G74_exp1A,152,1,A,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.47997,0.51629,0.03632,NA,NA,0.338,0.463,0.125,0.125
B32G87_exp2B,208,2,B,N,0,CNTRL_0,30,S,S,S_S,CNTRL_30_S_S,0.3418,0.45654,0.11474,-0.00728,0,0.511,0.529,0.018,0.018
