num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
11,08_15_22,2,A,2,0,C3,C3,-0.00144,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,1.5,30,F,S,G33Y1,2A,G33Y1_exp2A,206,77,0
12,08_15_22,2,A,2,1,D3,D3,-0.0038,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,1.5,30,F,S,G33Y100,2A,G33Y100_exp2A,185,77,0
12,08_20_22,2,B,2,1,D3,D3,-0.00682,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,1.5,30,F,S,G26Y52,2B,G26Y52_exp2B,175,106,0
11,08_20_22,2,B,2,0,C3,C3,-0.00222,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,1.5,30,F,S,G26Y54,2B,G26Y54_exp2B,223,106,0
12,09_01_22,3,A,2,1,D3,D3,-0.00572,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,1.5,30,F,S,G33Y100,3A,G33Y100_exp3A,240,141,0
11,09_01_22,3,A,2,0,C3,C3,-0.00521,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,1.5,30,F,S,G33Y97,3A,G33Y97_exp3A,239,141,0
11,09_05_22,3,B,2,0,C3,C3,-0.00575,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,1.5,30,F,S,W5O27,3B,W5O27_exp3B,246,190,0
12,09_05_22,3,B,2,1,D3,D3,-0.00266,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,1.5,30,F,S,W5O28,3B,W5O28_exp3B,256,190,0
12,7_26_22,1,A,2,0,D3,D3,-0.00185,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,1.5,30,S,A,G25Y45,1A,G25Y45_exp1A,162,9,0
12,7_26_22,1,A,2,1,D3,D3,-0.00276,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,1.5,30,S,A,G25Y46,1A,G25Y46_exp1A,151,9,0
12,7_26_22,1,B,2,0,D3,D3,-0.00344,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,1.5,30,S,A,G24Y40,1B,G24Y40_exp1B,166,42,0
12,7_26_22,1,B,2,1,D3,D3,-0.00251,N_1.5_30_S_A,N_1.5_30_S_A,S_A,N_1.5,N,1.5,30,S,A,G24Y42,1B,G24Y42_exp1B,184,42,0
