date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,sym_state,exp_num,exp_subrun,stand_beetag,peg_beetag,exp_1_beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,temp,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,treat_ID_full,treat_ID_collapsed_controls,treat_ID_without_sym,N_species,N_dose,N_species_dose,control_or_nutrient,temp,food,sym_state,food_sym_state
06_22_22,06_24_22,161,C,161C,110,10,SYM,1,B,B29,G70,B29G70,1B,B29G70_exp1B,161,39,30,0.232,0.464,0.232,1,-1.461017907,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,171,U,171U,119,10,SYM,1,B,B29,G71,B29G71,1B,B29G71_exp1B,171,39,30,0.376,0.491,0.115,0.305851064,-2.162823151,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_22_22,06_25_22,166,L,166L,113,6,APO,1,B,B32,G83,B32G83,1B,B32G83_exp1B,166,40,30,0.23,0.254,0.024,0.104347826,-3.729701449,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,171,L,171L,119,1,APO,1,B,B32,G84,B32G84,1B,B32G84_exp1B,171,40,30,0.351,0.393,0.042,0.11965812,-3.170085661,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,184,F,184F,126,4,APO,1,B,B32,G85,B32G85,1B,B32G85_exp1B,184,40,30,0.203,0.208,0.005,0.024630542,-5.298317367,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_22_22,06_25_22,164,E,164E,112,1,SYM,1,B,B32,G87,B32G87,1B,B32G87_exp1B,164,40,30,0.353,0.134,-0.219,-0.620396601,-1.518683549,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,06_30_22,172,H,172H,120,7,SYM,1,B,B32,G88,B32G88,1B,B32G88_exp1B,172,40,30,0.396,0.517,0.121,0.305555556,-2.111964733,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,06_30_22,175,D,175D,121,14,SYM,2,A,B13,G10,B13G10,2A,B13G10_exp2A,175,65,20,0.475,0.163,-0.312,-0.656842105,-1.164752091,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_01_22,206,E,206E,137,1,SYM,2,A,B13,G13,B13G13,2A,B13G13_exp2A,206,65,20,0.537,0.28,-0.257,-0.47858473,-1.358679194,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,06_30_22,174,A,174A,121,1,APO,2,A,B13,G2,B13G2,2A,B13G2_exp2A,174,65,20,0.448,0.09,-0.358,-0.799107143,-1.027222293,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,07_01_22,199,A,199A,134,7,APO,2,A,B13,G3,B13G3,2A,B13G3_exp2A,199,65,20,0.232,0.134,-0.098,-0.422413793,-2.3227878,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,07_07_22,226,K,226K,148,4,APO,2,A,B13,G8,B13G8,2A,B13G8_exp2A,226,65,20,0.455,0.411,-0.044,-0.096703297,-3.123565645,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,07_01_22,207,G,207G,137,15,SYM,2,A,B22,G27,B22G27,2A,B22G27_exp2A,207,66,20,0.432,0.561,0.129,0.298611111,-2.047942875,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
