num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,N_dose,control_or_nutrient,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
10,7_26_22,1,B,1,0,B3,B3,-0.00299,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,0,Control,30,S,A,B25G44,1B,B25G44_exp1B,181,36,0
11,7_26_22,1,B,1,1,C3,C3,-0.0011,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,0,Control,30,S,A,B25G45,1B,B25G45_exp1B,187,36,0
9,08_15_22,2,A,1,0,A3,A3,-0.00312,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,0,Control,30,S,A,B29G64,2A,B29G64_exp2A,198,72,0
10,08_15_22,2,A,1,1,B3,B3,-0.00297,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,0,Control,30,S,A,B29G65,2A,B29G65_exp2A,221,72,0
9,08_20_22,2,B,1,0,A3,A3,-0.00246,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,0,Control,30,S,A,B34G100,2B,B34G100_exp2B,224,104,0
10,08_20_22,2,B,1,1,B3,B3,-0.00586,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,0,Control,30,S,A,B34G97,2B,B34G97_exp2B,178,104,0
9,09_01_22,3,A,1,0,A3,A3,-0.00318,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,0,Control,30,S,A,B29G64,3A,B29G64_exp3A,237,136,0
10,09_01_22,3,A,1,1,B3,B3,-0.00455,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,0,Control,30,S,A,B29G65,3A,B29G65_exp3A,237,136,0
9,09_05_22,3,B,1,0,A3,A3,-0.00431,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,0,Control,30,S,A,W4O21,3B,W4O21_exp3B,242,189,0
10,09_05_22,3,B,1,1,B3,B3,-0.00448,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,0,Control,30,S,A,W4O22,3B,W4O22_exp3B,250,189,0
10,7_26_22,1,A,1,1,B3,B3,-0.00261,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,0,Control,30,S,S,B33G93,1A,B33G93_exp1A,144,7,0
9,7_26_22,1,A,1,0,A3,A3,-0.00826,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,0,Control,30,S,S,B33G95,1A,B33G95_exp1A,157,7,0
9,7_26_22,1,B,1,0,A3,A3,-0.00146,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,0,Control,30,S,S,B25G46,1B,B25G46_exp1B,167,36,0
10,7_26_22,1,B,1,1,B3,B3,-0.00439,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,0,Control,30,S,S,B25G47,1B,B25G47_exp1B,182,36,0
10,08_15_22,2,A,1,0,B3,B3,-0.00815,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,0,Control,30,S,S,B29G70,2A,B29G70_exp2A,205,72,0
10,08_20_22,2,B,1,0,B3,B3,-0.00248,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,0,Control,30,S,S,B34G3106,2B,B34G3106_exp2B,198,104,0
11,08_20_22,2,B,1,1,C3,C3,-0.00392,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,0,Control,30,S,S,B34G3409,2B,B34G3409_exp2B,233,104,0
10,09_01_22,3,A,1,0,B3,B3,-0.00558,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,0,Control,30,S,S,B29G70,3A,B29G70_exp3A,240,136,0
11,09_01_22,3,A,1,1,C3,C3,-0.00892,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,0,Control,30,S,S,B29G71,3A,B29G71_exp3A,241,136,0
10,09_05_22,3,B,1,0,B3,B3,-0.00352,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,0,Control,30,S,S,W4O23,3B,W4O23_exp3B,245,189,0
11,09_05_22,3,B,1,1,C3,C3,-0.00698,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,0,Control,30,S,S,W4O24,3B,W4O24_exp3B,255,189,0
9,7_26_22,1,A,3,1,A3,A3,-0.00437,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,R7W35,1A,R7W35_exp1A,153,23,0
9,7_26_22,1,A,3,0,A3,A3,-0.00296,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,R7W36,1A,R7W36_exp1A,144,23,0
9,7_26_22,1,B,3,0,A3,A3,-0.00454,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,R13W63,1B,R13W63_exp1B,178,51,0
9,7_26_22,1,B,3,1,A3,A3,-0.0062,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,R13W64,1B,R13W64_exp1B,184,51,0
9,08_15_22,2,A,3,0,A3,A3,-0.00314,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,R11W50,2A,R11W50_exp2A,196,83,0
9,08_15_22,2,A,3,1,A3,A3,-0.00504,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,R11W51,2A,R11W51_exp2A,210,83,0
9,08_20_22,2,B,3,0,A3,A3,-0.00398,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,R5W21,2B,R5W21_exp2B,170,117,0
9,08_20_22,2,B,3,1,A3,A3,-0.00358,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,R5W22,2B,R5W22_exp2B,213,117,0
9,09_01_22,3,A,3,0,A3,A3,-0.00414,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,R11W50,3A,R11W50_exp3A,235,147,0
9,09_01_22,3,A,3,1,A3,A3,-0.00357,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,R11W51,3A,R11W51_exp3A,237,147,0
9,09_05_22,3,B,3,0,A3,A3,-0.00596,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,O21W39,3B,O21W39_exp3B,242,171,0
9,09_05_22,3,B,3,1,A3,A3,-0.00705,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,10,Nutrient,20,F,A,O21W40,3B,O21W40_exp3B,245,171,0
10,7_26_22,1,A,3,0,B3,B3,-0.00584,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,R7W37,1A,R7W37_exp1A,143,23,0
10,7_26_22,1,A,3,1,B3,B3,-0.01477,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,R7W38,1A,R7W38_exp1A,152,23,0
10,7_26_22,1,B,3,0,B3,B3,-0.00962,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,R13W65,1B,R13W65_exp1B,167,51,0
10,7_26_22,1,B,3,1,B3,B3,-0.00317,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,R13W67,1B,R13W67_exp1B,176,51,0
10,08_15_22,2,A,3,0,B3,B3,-0.0025,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,R11W53,2A,R11W53_exp2A,198,83,0
10,08_15_22,2,A,3,1,B3,B3,-3.72E-03,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,R11W54,2A,R11W54_exp2A,220,83,0
10,08_20_22,2,B,3,0,B3,B3,-0.00089,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,R5W24,2B,R5W24_exp2B,196,117,0
10,08_20_22,2,B,3,1,B3,B3,-0.00871,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,R5W27,2B,R5W27_exp2B,182,117,0
10,09_01_22,3,A,3,0,B3,B3,-0.00404,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,R11W53,3A,R11W53_exp3A,240,147,0
10,09_01_22,3,A,3,1,B3,B3,-0.00522,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,R11W54,3A,R11W54_exp3A,241,147,0
10,09_05_22,3,B,3,0,B3,B3,-0.00301,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,O21W42,3B,O21W42_exp3B,252,171,0
10,09_05_22,3,B,3,1,B3,B3,-0.00425,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,10,Nutrient,20,F,S,O21W43,3B,O21W43_exp3B,243,171,0
