exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID,beetag,beetag_exp_concat,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_delta
1,A,A,5,A_5,20,F,S,F_S,A_5_20_F_S,G36Y28,G36Y28_exp1A,1,G36Y28_day1_exp1A,G36Y28_1A_day1.JPG,0.57575,G36Y28_day11_exp1A,G36Y28_1A_day11.JPG,0.53782,-0.03793
2,A,A,0,A_0,30,S,A,S_A,CNTRL_30_S_A,B29G67,B29G67_exp2A,1,B29G67_day1_exp2A,B29G67_2A_day1.JPG,0.52761,B29G67_day11_exp2A,B29G67_2A_day11.JPG,0.5375,0.00989
2,A,A,10,A_10,20,S,S,S_S,A_10_20_S_S,R13W65,R13W65_exp2A,1,R13W65_day1_exp2A,R13W65_2A_day1.JPG,0.48712,R13W65_day11_exp2A,R13W65_2A_day11.JPG,0.53747,0.05035
2,A,N,18,N_18,30,F,A,F_A,N_18_30_F_A,R14W71,R14W71_exp2A,1,R14W71_day1_exp2A,R14W71_2A_day1.JPG,0.4937,R14W71_day11_exp2A,R14W71_2A_day11.JPG,0.53566,0.04196
3,B,A,5,A_5,20,F,S,F_S,A_5_20_F_S,O10G20,O10G20_exp3B,1,O10G20_day1_exp3B,O12Y4_3B_day1.JPG,0.41418,O10G20_day11_exp3B,O10G20_3B_day11.JPG,0.5352,0.12102
1,B,A,0,A_0,30,F,S,F_S,CNTRL_30_F_S,B13G10,B13G10_exp1B,1,B13G10_day1_exp1B,B13G10_1B_day1.JPG,0.48781,B13G10_day11_exp1B,B13G10_1B_day11.JPG,0.53401,0.0462
1,A,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,G25Y47,G25Y47_exp1A,1,G25Y47_day1_exp1A,G25Y47_1A_day1.JPG,0.54086,G25Y47_day11_exp1A,G25Y47_1A_day11.JPG,0.5327,-0.00816
2,B,A,0,A_0,30,S,S,S_S,CNTRL_30_S_S,B34G3106,B34G3106_exp2B,1,B34G3106_day1_exp2B,B34G31_2B_day1.JPG,0.51303,B34G3106_day11_exp2B,B34G31_2B_day11.JPG,0.53264,0.01961
1,A,A,5,A_5,30,F,S,F_S,A_5_30_F_S,G32Y93,G32Y93_exp1A,1,G32Y93_day1_exp1A,G32Y93_1A_day1.JPG,0.67688,G32Y93_day11_exp1A,G32Y93_1A_day11.JPG,0.53094,-0.14594
3,B,N,0,N_0,30,F,A,F_A,CNTRL_30_F_A,W17O83,W17O83_exp3B,1,W17O83_day1_exp3B,W16O77_3B_day1.JPG,0.55486,W17O83_day11_exp3B,W16O77_3B_day11.JPG,0.53012,-0.02474
1,A,A,10,A_10,20,F,S,F_S,A_10_20_F_S,R7W39,R7W39_exp1A,1,R7W39_day1_exp1A,R7W39_1A_day1.JPG,0.477,R7W39_day11_exp1A,R7W39_1A_day11.JPG,0.52988,0.05288
1,B,A,0,A_0,20,F,A,F_A,CNTRL_20_F_A,B26G48,B26G48_exp1B,1,B26G48_day1_exp1B,B26G48_1B_day1.JPG,0.53307,B26G48_day11_exp1B,B26G48_1B_day11.JPG,0.52948,-0.00359
1,B,A,0,A_0,30,F,A,F_A,CNTRL_30_F_A,B13G2,B13G2_exp1B,1,B13G2_day1_exp1B,B13G2_1B_day1.JPG,0.54838,B13G2_day11_exp1B,B13G2_1B_day11.JPG,0.5292,-0.01918
1,B,A,7.5,A_7.5,20,S,S,S_S,A_7.5_20_S_S,Y23B3299,Y23B3299_exp1B,1,Y23B3299_day1_exp1B,Y23B32_1B_day1.JPG,0.48704,Y23B3299_day11_exp1B,Y23B32_1B_day11.JPG,0.52867,0.04163
1,A,A,10,A_10,20,F,S,F_S,A_10_20_F_S,R7W38,R7W38_exp1A,1,R7W38_day1_exp1A,R7W38_1A_day1.JPG,0.51144,R7W38_day11_exp1A,R7W38_1A_day11.JPG,0.52786,0.01642
3,B,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,O8G13,O8G13_exp3B,1,O8G13_day1_exp3B,O8G13_3B_day1.JPG,0.53212,O8G13_day11_exp3B,O8W13_3B_day11.JPG,0.52775,-0.00437
3,B,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,O5G4,O5G4_exp3B,1,O5G4_day1_exp3B,O5G4_3B_day1.JPG,0.54591,O5G4_day11_exp3B,O5W4_3B_day11.JPG,0.52769,-0.01822
3,A,A,5,A_5,30,F,S,F_S,A_5_30_F_S,G35Y24,G35Y24_exp3A,1,G35Y24_day1_exp3A,G35Y24_3A_day1.JPG,0.48433,G35Y24_day11_exp3A,G35Y24_3A_day11.JPG,0.52749,0.04316
1,B,N,5,N_5,30,S,A,S_A,N_5_30_S_A,Y8B45,Y8B45_exp1B,1,Y8B45_day1_exp1B,Y8B45_1B_day1.JPG,0.49926,Y8B45_day11_exp1B,Y8B45_1B_day11.JPG,0.52608,0.02682
3,A,A,7.5,A_7.5,30,S,S,S_S,A_7.5_30_S_S,Y13B74,Y13B74_exp3A,1,Y13B74_day1_exp3A,Y13B74_3A_day1.JPG,0.36128,Y13B74_day11_exp3A,Y13B74_3A_day1.JPG,0.52587,0.16459
3,B,A,7.5,A_7.5,30,F,S,F_S,A_7.5_30_F_S,W13O59,W13O59_exp3B,1,W13O59_day1_exp3B,W13O59_3B_day1.JPG,0.36677,W13O59_day11_exp3B,W12O54_3B_day11.JPG,0.52566,0.15889
2,B,A,0,A_0,30,F,A,F_A,CNTRL_30_F_A,B33G90,B33G90_exp2B,1,B33G90_day1_exp2B,B33G90_2B_day1.JPG,0.53134,B33G90_day11_exp2B,B33G90_2B_day11.JPG,0.52453,-0.00681
2,B,N,0,N_0,20,F,S,F_S,CNTRL_20_F_S,B14G21,B14G21_exp2B,1,B14G21_day1_exp2B,B14G21_2B_day1.JPG,0.53292,B14G21_day11_exp2B,B14G21_2B_day11.JPG,0.5227,-0.01022
3,B,A,0,A_0,20,S,S,S_S,CNTRL_20_S_S,O4B24,O4B24_exp3B,1,O4B24_day1_exp3B,O4B24_3B_day1.JPG,0.5333,O4B24_day11_exp3B,O4B24_3B_day11.JPG,0.52125,-0.01205
1,B,A,7.5,A_7.5,20,F,A,F_A,A_7.5_20_F_A,Y20B95,Y20B95_exp1B,1,Y20B95_day1_exp1B,Y20B95_1B_day1.JPG,0.4704,Y20B95_day11_exp1B,Y20B95_1B_day11.JPG,0.52095,0.05055
