beetag_exprun,resp_rate,red_delta,log_PAM_delta,treat_ID,dose,temp,sym_state,e_coli_plate,col_num
Y7B40_exp1B,-0.00392,-0.00575,-0.11,N_5_30_A,5,30,A,0,165
Y12B62_exp2A,-0.00155,0.03619,0.067,N_5_30_A,5,30,A,0,186
W11O46_exp3B,-0.00666,0.00266,0.063,N_5_30_A,5,30,A,0,238
Y8B46_exp3A,-0.00402,0.09379,0.091,N_5_30_A,5,30,A,0,237
Y14B75_exp2B,-0.00284,-0.05565,-0.219,N_5_30_A,5,30,A,0,168
Y12B65_exp2A,-0.00139,0.05229,-0.203,N_5_30_S,5,30,S,0,192
Y7B43_exp1B,-0.00401,0.01863,0.01,N_5_30_S,5,30,S,0,163
Y2B22_exp1A,-0.00354,0.00281,-0.026,N_5_30_S,5,30,S,0,149
W11O48_exp3B,-0.00421,-0.09041,-0.007,N_5_30_S,5,30,S,0,251
Y8B48_exp3A,-0.00419,-0.21164,-0.051,N_5_30_S,5,30,S,0,239
Y14B77_exp2B,-0.00621,-0.012,-0.178,N_5_30_S,5,30,S,0,175
Y15B80_exp2B,-0.00494,-0.03305,-0.104,N_5_30_A,5,30,A,0,170
W12O51_exp3B,-0.00768,-0.17359,-0.493,N_5_30_A,5,30,A,0,241
Y12B62_exp3A,-0.00208,0.04431,0.112,N_5_30_A,5,30,A,0,232
Y8B46_exp1B,-0.00273,0.03898,0.178,N_5_30_A,5,30,A,0,171
Y13B70_exp2A,-0.00136,0.03016,-0.01,N_5_30_A,5,30,A,0,194
Y14B76_exp1A,-0.0058,0.04253,-0.207,N_5_30_A,5,30,A,0,151
Y8B48_exp1B,-0.00393,0.01219,-0.056,N_5_30_S,5,30,S,0,166
Y13B73_exp2A,-0.00267,0.03293,-0.391,N_5_30_S,5,30,S,0,193
Y14B77_exp1A,-0.00237,-0.01382,0.085,N_5_30_S,5,30,S,0,152
Y12B65_exp3A,-0.00512,0.00364,-0.01,N_5_30_S,5,30,S,0,239
