num,date,time,temp,light_intensity,chamber_or_temperate,exp_num,exp_A,exp_B
195,7/19/2022,11:13:50 AM,29.352,269.1,chamber,1,1,1
196,7/19/2022,11:43:50 AM,29.352,269.1,chamber,1,1,1
197,7/19/2022,12:13:50 PM,29.352,269.1,chamber,1,1,1
198,7/19/2022,12:43:50 PM,29.352,269.1,chamber,1,1,1
199,7/19/2022,1:13:50 PM,29.352,269.1,chamber,1,1,1
200,7/19/2022,1:43:50 PM,28.456,312.2,chamber,1,1,1
201,7/19/2022,2:13:50 PM,29.352,559.7,chamber,1,1,1
202,7/19/2022,2:43:50 PM,29.252,559.7,chamber,1,1,1
203,7/19/2022,3:13:50 PM,29.252,559.7,chamber,1,1,1
204,7/19/2022,3:43:50 PM,29.252,559.7,chamber,1,1,1
205,7/19/2022,4:13:50 PM,29.252,559.7,chamber,1,1,1
206,7/19/2022,4:43:50 PM,29.252,559.7,chamber,1,1,1
207,7/19/2022,5:13:50 PM,29.053,0,chamber,1,1,1
208,7/19/2022,5:43:50 PM,28.953,258.3,chamber,1,1,1
209,7/19/2022,6:13:50 PM,29.053,602.8,chamber,1,1,1
210,7/19/2022,6:43:50 PM,29.053,0,chamber,1,1,1
211,7/19/2022,7:13:50 PM,28.953,226,chamber,1,1,1
212,7/19/2022,7:43:50 PM,29.053,226,chamber,1,1,1
213,7/19/2022,8:13:50 PM,28.953,0,chamber,1,1,1
214,7/19/2022,8:43:50 PM,28.853,0,chamber,1,1,1
215,7/19/2022,9:13:50 PM,28.754,0,chamber,1,1,1
216,7/19/2022,9:43:50 PM,28.754,0,chamber,1,1,1
217,7/19/2022,10:13:50 PM,28.754,0,chamber,1,1,1
218,7/19/2022,10:43:50 PM,28.754,0,chamber,1,1,1
219,7/19/2022,11:13:50 PM,28.754,0,chamber,1,1,1
220,7/19/2022,11:43:50 PM,28.853,0,chamber,1,1,1
221,7/20/2022,12:13:50 AM,28.853,226,chamber,1,1,1
222,7/20/2022,12:43:50 AM,28.853,0,chamber,1,1,1
223,7/20/2022,1:13:50 AM,28.853,0,chamber,1,1,1
224,7/20/2022,1:43:50 AM,28.853,0,chamber,1,1,1
225,7/20/2022,2:13:50 AM,28.853,0,chamber,1,1,1
226,7/20/2022,2:43:50 AM,28.853,0,chamber,1,1,1
227,7/20/2022,3:13:50 AM,28.853,0,chamber,1,1,1
228,7/20/2022,3:43:50 AM,28.853,0,chamber,1,1,1
229,7/20/2022,4:13:50 AM,28.953,0,chamber,1,1,1
230,7/20/2022,4:43:50 AM,28.953,0,chamber,1,1,1
231,7/20/2022,5:13:50 AM,28.953,0,chamber,1,1,1
232,7/20/2022,5:43:50 AM,29.053,0,chamber,1,1,1
233,7/20/2022,6:13:50 AM,29.053,0,chamber,1,1,1
234,7/20/2022,6:43:50 AM,29.053,0,chamber,1,1,1
235,7/20/2022,7:13:50 AM,29.152,0,chamber,1,1,1
236,7/20/2022,7:43:50 AM,29.152,0,chamber,1,1,1
237,7/20/2022,8:13:50 AM,29.252,258.3,chamber,1,1,1
238,7/20/2022,8:43:50 AM,29.352,247.6,chamber,1,1,1
239,7/20/2022,9:13:50 AM,29.452,247.6,chamber,1,1,1
240,7/20/2022,9:43:50 AM,29.552,592,chamber,1,1,1
241,7/20/2022,10:13:50 AM,29.752,592,chamber,1,1,1
242,7/20/2022,10:43:50 AM,29.853,581.3,chamber,1,1,1
243,7/20/2022,11:13:50 AM,29.953,473.6,chamber,1,1,1
244,7/20/2022,11:43:50 AM,29.552,613.5,chamber,1,1,1
245,7/20/2022,12:13:50 PM,29.752,43.1,chamber,1,1,1
