num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
16,09_01_22,3,A,1,1,D4,D4,-0.00355,-0.075639082,0.075639082,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B25G43,3A,B25G43_exp3A,226,133,0
15,09_01_22,3,A,1,0,C4,C4,-0.00464,-0.108061135,0.108061135,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B25G44,3A,B25G44_exp3A,237,133,0
15,09_05_22,3,B,1,0,C4,C4,-0.00372,-0.021598636,0.021598636,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,W1O1,3B,W1O1_exp3B,238,177,0
16,09_05_22,3,B,1,1,D4,D4,-0.00329,-0.064516721,0.064516721,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,W1O2,3B,W1O2_exp3B,242,177,0
17,7_26_22,1,A,1,1,A5,A5,-0.0052,-0.098439963,0.098439963,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B27G56,1A,B27G56_exp1A,147,4,0
16,7_26_22,1,A,1,0,D4,D4,-0.00437,-0.056036216,0.056036216,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B27G57,1A,B27G57_exp1A,153,4,0
16,7_26_22,1,B,1,0,D4,D4,-0.00423,-0.065222865,0.065222865,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B29G70,1B,B29G70_exp1B,161,39,0
17,7_26_22,1,B,1,1,A5,A5,-0.00298,-0.048432338,0.048432338,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B29G71,1B,B29G71_exp1B,171,39,0
16,08_15_22,2,A,1,0,D4,D4,-0.00865,-0.143536968,0.143536968,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B25G46,2A,B25G46_exp2A,185,69,0
17,08_15_22,2,A,1,1,A5,A5,-0.00501,-0.079231137,0.079231137,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B25G47,2A,B25G47_exp2A,206,69,0
