,beetag,exprun,n_species,col_num,beetag_exprun,treat_ID_full,treat_ID_dose_temp_food,NO3_mean_observed,NH4_mean_observed,N_species_dose,temp,food,sym_state,red_day1,green_day1,blue_day1,red_day11,green_day11,blue_day11,red_delta,red_percent_change,NO3_category
553,B25G45,exp3A,Nitrate,237,B25G45_exp3A,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,179.3279145,172.0475417,133.8448215,180.4307278,176.4687272,128.3478011,1.102813353,0.614970266,Low
81,B26G48,exp1B,Ammonium,167,B26G48_exp1B,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,186.900918,140.9507923,111.4781404,170.937947,118.4647902,85.78588923,-15.96297104,-8.540873535,Low
500,B26G48,exp2A,Nitrate,193,B26G48_exp2A,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,109.2905171,81.68442671,53.86849109,141.0173552,121.9255012,90.4112002,31.72683807,29.02981788,Low
525,B26G48,exp3A,Nitrate,229,B26G48_exp3A,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,120.8092575,101.4387656,97.34910092,130.289526,110.7904935,100.1196406,9.480268464,7.84730298,Low
117,B26G49,exp1B,Ammonium,178,B26G49_exp1B,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,183.7364028,178.4117038,157.8784767,119.7134283,96.36791091,74.94637375,-64.02297443,-34.84501354,Low
529,B26G49,exp2A,Nitrate,206,B26G49_exp2A,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,81.87768345,48.49952843,29.63757862,87.44900366,73.24787729,56.16486994,5.571320204,6.804442882,Low
547,B26G49,exp3A,Nitrate,237,B26G49_exp3A,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,172.2687635,184.5108406,142.3303242,176.2819707,192.808773,158.7581487,4.013207211,2.329619793,Low
30,B26G50,exp1B,Ammonium,184,B26G50_exp1B,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,176.2426144,185.4572609,145.6447362,187.900803,203.5806169,163.8112257,11.65818859,6.614852276,Low
535,B26G50,exp2A,Nitrate,230,B26G50_exp2A,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,184.3309554,165.0693728,124.6381261,195.0983261,182.7447327,141.3577606,10.76737069,5.841325272,Low
589,B26G50,exp3A,Nitrate,237,B26G50_exp3A,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,216.9937912,243.9468048,208.1822299,181.3635489,191.0977332,157.6160709,-35.63024228,-16.41993629,Low
493,B26G51,exp3A,Nitrate,239,B26G51_exp3A,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,92.07675432,48.63992983,33.4620213,136.6606305,94.02216016,68.31157339,44.58387619,48.42033857,Low
520,B27G53,exp1A,Nitrate,168,B27G53_exp1A,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,159.559294,190.5283411,170.6390618,174.1167649,210.613937,168.1807721,14.55747093,9.123549347,Low
41,B27G53,exp2B,Ammonium,170,B27G53_exp2B,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,181.0219083,143.2321467,123.8088523,188.9282885,161.7373107,145.8785125,7.906380161,4.367637174,Low
495,B27G54,exp1A,Nitrate,150,B27G54_exp1A,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,125.435305,85.77596506,61.40837327,172.8654838,190.2499024,152.9171094,47.43017878,37.81246339,Low
39,B27G54,exp2B,Ammonium,212,B27G54_exp2B,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,168.8034406,186.8920172,134.5173077,176.9201973,204.1021464,146.8689028,8.116756766,4.808407186,Low
48,B28G58,exp1B,Ammonium,168,B28G58_exp1B,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,160.4763748,186.9049962,154.5233106,164.5448168,189.6650096,155.5301515,4.068442039,2.535228033,Low
38,B28G58,exp2A,Ammonium,196,B28G58_exp2A,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,99.39171622,78.88752546,68.64491767,104.399759,94.63662307,78.64938117,5.008042827,5.038692375,Low
45,B28G59,exp1B,Ammonium,179,B28G59_exp1B,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,124.5948097,132.5777863,92.21232132,128.7337667,131.9174505,95.07836758,4.138957034,3.32193375,Low
9,B28G59,exp2A,Ammonium,210,B28G59_exp2A,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,120.5766622,99.32860564,61.2359615,148.6954031,138.6634942,95.15474479,28.11874086,23.32021831,Low
108,B28G59,exp3A,Ammonium,237,B28G59_exp3A,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,175.8512368,194.0757236,163.4590553,135.3332578,133.3940833,88.27772016,-40.51797902,-23.04105433,Low
37,B28G60,exp1B,Ammonium,187,B28G60_exp1B,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,195.3940552,207.68203,176.868219,205.4451081,224.916412,186.2955939,10.05105295,5.143991172,Low
28,B28G60,exp2A,Ammonium,232,B28G60_exp2A,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,176.8496601,190.3132725,150.5742666,189.8025721,205.761483,154.8760791,12.95291202,7.324250445,Low
66,B28G60,exp3A,Ammonium,237,B28G60_exp3A,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,148.8872973,160.3437136,123.4822571,141.6806206,157.7869576,139.1963442,-7.206676703,-4.840356992,Low
526,B29G64,exp1B,Nitrate,164,B29G64_exp1B,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,125.8777866,121.9691851,93.62333247,134.9429353,132.2421178,112.2359062,9.065148665,7.201547557,Low
101,B29G64,exp2A,Ammonium,198,B29G64_exp2A,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,155.3120082,140.6207109,112.5974378,128.9759378,99.03599274,72.57848246,-26.33607038,-16.9568797,Low
64,B29G64,exp3A,Ammonium,237,B29G64_exp3A,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,142.0504928,150.8794013,116.7360279,135.7492138,139.8940993,92.99965282,-6.301278936,-4.435943032,Low
540,B29G65,exp1B,Nitrate,170,B29G65_exp1B,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,192.1669528,166.5270138,152.3031463,199.9100657,179.9079681,157.859099,7.743112921,4.029367593,Low
26,B29G65,exp2A,Ammonium,221,B29G65_exp2A,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,167.841757,162.5831941,126.1548203,181.557436,196.5784762,148.4851669,13.71567898,8.171791824,Low
13,B29G65,exp3A,Ammonium,237,B29G65_exp3A,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,173.7234549,182.090399,134.8469873,204.7579487,226.1161729,173.0896885,31.03449385,17.86430846,Low
562,B29G67,exp1B,Nitrate,183,B29G67_exp1B,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,186.153191,139.2326239,133.2536658,179.7430066,133.8985791,117.1423122,-6.410184377,-3.443499595,Low
63,B29G67,exp2A,Ammonium,233,B29G67_exp2A,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,201.5750513,175.2192082,133.9329455,193.172108,165.0236817,114.0446611,-8.402943276,-4.168642509,Low
105,B29G67,exp3A,Ammonium,238,B29G67_exp3A,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,211.0558988,228.2707407,192.1049083,169.8953151,183.93678,143.1018961,-41.16058375,-19.50221907,Low
518,B30G72,exp1A,Nitrate,162,B30G72_exp1A,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,188.3360296,207.3876084,160.0855067,210.308761,251.4437113,191.7315552,21.97273137,11.66676998,Low
75,B30G72,exp2B,Ammonium,215,B30G72_exp2B,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,233.0096942,261.4101043,212.6936749,217.0062815,241.687816,182.3967521,-16.00341274,-6.868131727,Low
536,B30G73,exp1A,Nitrate,151,B30G73_exp1A,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,101.9514382,89.8570502,73.84389138,107.5255274,92.22865007,70.9214083,5.574089187,5.467396327,Low
114,B30G73,exp2B,Ammonium,171,B30G73_exp2B,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,165.6361686,115.6770245,91.36188596,118.269852,66.08759956,46.40574072,-47.3663165,-28.59660237,Low
79,B31G77,exp1A,Ammonium,160,B31G77_exp1A,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,143.339106,121.1804274,109.0061904,131.4536049,89.25602957,76.52059161,-11.8855011,-8.291876117,Low
561,B31G77,exp2B,Nitrate,167,B31G77_exp2B,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,145.0880466,101.5404326,101.2097531,140.8535769,87.66788478,79.04623895,-4.234469662,-2.918551708,Low
85,B31G78,exp1A,Ammonium,144,B31G78_exp1A,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,127.0359461,134.3738851,113.2177884,115.0653823,120.194798,97.63269683,-11.97056385,-9.422973747,Low
581,B31G78,exp2B,Nitrate,195,B31G78_exp2B,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,138.2861067,146.9785829,125.2080128,125.9478311,113.2847518,82.15181636,-12.33827558,-8.9222814,Low
558,B32G83,exp1B,Nitrate,166,B32G83_exp1B,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,163.0457768,126.8982771,111.8906957,161.3068862,127.5907683,111.4526504,-1.738890597,-1.066504531,Low
503,B32G83,exp2B,Nitrate,170,B32G83_exp2B,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,176.6114095,123.6434534,94.50776723,222.1274924,201.0068758,164.9804744,45.51608299,25.7718814,Low
595,B32G84,exp1B,Nitrate,171,B32G84_exp1B,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,83.82684197,68.05192943,63.00083874,65.53674887,49.56326174,42.89312966,-18.2900931,-21.81889795,Low
559,B32G84,exp2B,Nitrate,211,B32G84_exp2B,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,128.0789693,108.5728715,74.89948602,126.15858,111.6422557,79.89181911,-1.920389304,-1.499379106,Low
552,B32G85,exp1B,Nitrate,184,B32G85_exp1B,N_0_30_S_A,N_0_30_S,3.325,13.65775,N_0,30,S,A,200.204804,220.189456,181.1329774,201.4827605,233.75348,199.893904,1.277956517,0.638324601,Low
2,B33G90,exp1A,Ammonium,155,B33G90_exp1A,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,128.3787576,109.2612722,92.34474111,194.9228028,197.5860998,165.2877118,66.54404523,51.83415581,Low
10,B33G90,exp2B,Ammonium,170,B33G90_exp2B,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,181.2548242,129.341107,102.8530327,222.745915,196.4058678,180.908846,41.49109078,22.89102701,Low
52,B33G92,exp1A,Ammonium,154,B33G92_exp1A,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,181.7444115,148.0904112,134.3131453,181.4913441,130.7115047,113.5472651,-0.253067431,-0.139243583,Low
82,B33G92,exp2B,Ammonium,213,B33G92_exp2B,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,174.3557179,172.1419289,153.2459982,158.8930394,158.6498843,128.283128,-15.46267852,-8.868466551,Low
65,B34G100,exp1A,Ammonium,146,B34G100_exp1A,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,143.4231059,140.2905203,140.331237,136.6421437,125.3129677,120.5890527,-6.780962248,-4.727942687,Low
32,B34G100,exp2B,Ammonium,224,B34G100_exp2B,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,143.2498063,141.5878039,102.5992341,152.251865,166.4465342,113.4712353,9.002058756,6.284168189,Low
98,B34G97,exp1A,Ammonium,162,B34G97_exp1A,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,177.0131017,186.7709884,168.2177342,148.8995691,162.8347263,135.8317674,-28.11353255,-15.88217611,Low
80,B34G97,exp2B,Ammonium,178,B34G97_exp2B,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,214.9292548,173.9351235,153.198295,197.0525164,166.6711712,142.7809599,-17.87673842,-8.317498907,Low
622,G23Y1819,exp1B,Nitrate,170,G23Y1819_exp1B,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5,30,F,A,164.4584302,143.8927474,106.3301362,184.3558172,NA,NA,19.89738698,12.09873337,Low
618,G23Y1819,exp2A,Nitrate,199,G23Y1819_exp2A,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,160.6477561,184.4097825,149.8085261,158.0531119,NA,NA,-2.594644185,-1.615113867,Low
616,G23Y1819,exp3A,Nitrate,223,G23Y1819_exp3A,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,186.3222235,154.3977582,134.8588862,186.0375889,NA,NA,-0.284634573,-0.152764693,Low
613,G23Y2129,exp3A,Nitrate,237,G23Y2129_exp3A,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,174.7340992,192.8823555,168.0043135,147.8833268,NA,NA,-26.85077244,-15.36664713,Low
620,G23Y2820,exp1B,Nitrate,183,G23Y2820_exp1B,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5,30,F,A,198.0993007,178.4185903,171.1424829,214.6364003,NA,NA,16.53709963,8.347883903,Low
615,G23Y2820,exp2A,Nitrate,226,G23Y2820_exp2A,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,160.2633766,128.713217,83.54156874,162.2930552,NA,NA,2.029678577,1.266464379,Low
614,G23Y2820,exp3A,Nitrate,237,G23Y2820_exp3A,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,160.5866029,170.7356136,130.7945172,131.7483967,NA,NA,-28.83820616,-17.95803986,Low
623,G23Y5017,exp1B,Nitrate,165,G23Y5017_exp1B,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5,30,F,A,181.2181056,153.2082363,138.7581868,151.8611453,NA,NA,-29.35696031,-16.19979428,Low
730,G23Y0517,exp2A,Nitrate,174,G23Y5017_exp2A,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,156.8893021,147.8172354,103.292638,72.61241456,37.7611656,29.14425006,-84.27688754,-53.7174214,Low
647,G24Y40,exp1B,Nitrate,166,G24Y40_exp1B,N_1.5_30_S_A,N_1.5_30_S,6.054,19.77225,N_1.5,30,S,A,141.7179303,131.6442489,111.2836284,160.686063,147.1627499,120.7708628,18.9681327,13.38442684,Elevated
686,G24Y40,exp2A,Nitrate,187,G24Y40_exp2A,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5,20,S,A,239.5447881,259.5577638,224.6713971,229.6236283,241.7505831,190.0807183,-9.921159716,-4.141672126,Low
688,G24Y40,exp3A,Nitrate,227,G24Y40_exp3A,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5,20,S,A,154.7134591,182.6268912,154.3214132,145.462494,141.468794,141.1159523,-9.250965035,-5.979418397,Low
691,G24Y41,exp1B,Nitrate,171,G24Y41_exp1B,N_1.5_30_S_A,N_1.5_30_S,6.054,19.77225,N_1.5,30,S,A,166.406647,140.572277,112.5836369,155.6353855,113.406271,91.171555,-10.77126152,-6.472855331,Elevated
725,G24Y41,exp2A,Nitrate,203,G24Y41_exp2A,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5,20,S,A,180.4595468,203.9521463,173.2719291,131.661184,150.1433831,104.0640832,-48.79836277,-27.04116443,Low
662,G24Y41,exp3A,Nitrate,237,G24Y41_exp3A,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5,20,S,A,191.7396282,208.8587179,178.8611419,205.6952602,231.4505682,178.7809193,13.95563199,7.278428628,Low
632,G24Y42,exp1B,Nitrate,184,G24Y42_exp1B,N_1.5_30_S_A,N_1.5_30_S,6.054,19.77225,N_1.5,30,S,A,119.2475387,133.5664756,109.2467203,156.2611821,188.1339235,163.6157928,37.01364335,31.03933528,Elevated
685,G24Y42,exp2A,Nitrate,228,G24Y42_exp2A,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5,20,S,A,163.0037517,172.0311427,144.4648933,156.6476612,158.2201419,136.1815292,-6.356090457,-3.899352249,Low
681,G24Y42,exp3A,Nitrate,237,G24Y42_exp3A,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5,20,S,A,160.5051728,173.3147608,138.6080316,157.6733828,161.5422068,131.7552648,-2.831790013,-1.764298287,Low
626,G25Y45,exp1A,Nitrate,162,G25Y45_exp1A,N_1.5_30_S_A,N_1.5_30_S,6.054,19.77225,N_1.5,30,S,A,128.5186199,126.8025792,107.5514346,188.5265998,221.8817907,194.6326033,60.00797992,46.6920513,Elevated
701,G25Y45,exp2B,Nitrate,157,G25Y45_exp2B,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,181.1290902,142.135889,97.81892049,162.1552226,114.0342325,76.00368549,-18.97386759,-10.47532871,Low
670,G25Y46,exp1A,Nitrate,151,G25Y46_exp1A,N_1.5_30_S_A,N_1.5_30_S,6.054,19.77225,N_1.5,30,S,A,136.7075815,84.6421084,73.28911625,140.10972,78.41148299,74.30500537,3.402138521,2.488624614,Elevated
712,G25Y46,exp2B,Nitrate,184,G25Y46_exp2B,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,158.9126431,184.6247418,152.6796358,134.6911465,156.4702771,119.2455681,-24.22149658,-15.24201984,Low
720,G26Y51,exp2B,Nitrate,196,G26Y51_exp2B,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5,30,F,A,121.1794642,115.5621798,88.08675503,95.8892629,85.16651176,55.67794031,-25.2902013,-20.87003888,Low
654,G26Y52,exp2B,Nitrate,175,G26Y52_exp2B,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5,30,F,A,173.6497135,149.0260038,95.93862704,192.808552,166.3859924,117.2879228,19.15883853,11.03303781,Low
318,G27Y55,exp1A,Ammonium,162,G27Y55_exp1A,A_5_20_S_A,A_5_20_S,3.4665,11.236,A_5,20,S,A,160.5072612,170.6180566,158.0515831,152.4725915,154.338477,139.0284244,-8.034669676,-5.005798253,Low
358,G27Y56,exp1A,Ammonium,146,G27Y56_exp1A,A_5_20_S_A,A_5_20_S,3.4665,11.236,A_5,20,S,A,124.5981276,106.5573738,98.35109128,82.34465195,49.74388012,40.1201529,-42.25347566,-33.91180628,Low
642,G27Y56,exp2B,Nitrate,206,G27Y56_exp2B,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5,20,S,A,139.9153044,119.9975273,97.80337066,164.9472624,154.8404551,130.4319244,25.03195796,17.89079334,Low
646,G27Y57,exp2B,Nitrate,185,G27Y57_exp2B,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5,20,S,A,138.4228654,111.3817319,86.72638542,159.6621036,133.9691495,103.501012,21.23923819,15.34373539,Low
644,G28Y62,exp1A,Nitrate,168,G28Y62_exp1A,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5,30,F,A,152.3273306,169.4271931,144.5260008,177.1594156,208.6416973,169.1200551,24.832085,16.30179227,Low
627,G28Y62,exp2B,Nitrate,170,G28Y62_exp2B,N_1.5_30_S_A,N_1.5_30_S,6.054,19.77225,N_1.5,30,S,A,174.2012997,136.8751363,119.1523003,249.237393,253.5848258,217.6606331,75.03609334,43.07435907,Elevated
703,G28Y63,exp1A,Nitrate,150,G28Y63_exp1A,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5,30,F,A,202.5721846,181.6040774,133.8624769,180.7560323,176.4465702,137.7274712,-21.81615233,-10.76956956,Low
687,G28Y63,exp2B,Nitrate,212,G28Y63_exp2B,N_1.5_30_S_A,N_1.5_30_S,6.054,19.77225,N_1.5,30,S,A,167.2844857,163.513686,115.0348067,157.8664906,164.2397602,126.1020971,-9.417995055,-5.629927376,Elevated
680,G29Y70,exp1A,Nitrate,168,G29Y70_exp1A,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,199.232566,226.0231445,203.3636842,195.7556668,217.6638707,170.3075073,-3.476899173,-1.745146009,Low
246,G29Y70,exp2B,Ammonium,170,G29Y70_exp2B,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5,30,F,A,161.4419862,133.6387816,102.1352145,227.4692656,212.9252977,186.221178,66.02727947,40.89845587,Low
628,G29Y71,exp1A,Nitrate,150,G29Y71_exp1A,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,199.8688576,198.0064098,189.9966051,282.3762828,284.6073258,250.5505276,82.50742519,41.28078089,Low
314,G29Y71,exp2B,Ammonium,213,G29Y71_exp2B,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5,30,F,A,142.8232521,147.7993598,118.7566984,138.3153657,156.6746187,129.2897308,-4.507886393,-3.156269253,Low
634,G30Y75,exp1B,Nitrate,163,G30Y75_exp1B,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,124.9076374,114.7832119,83.76235279,155.6946474,143.0531385,108.7616103,30.78700997,24.64782027,Low
289,G30Y75,exp2A,Ammonium,195,G30Y75_exp2A,A_5_20_F_A,A_5_20_F,2.518,13.433,A_5,20,F,A,144.4098833,145.9434693,108.6154331,151.7124123,147.5510568,107.3481413,7.302529001,5.05680694,Low
279,G30Y75,exp3A,Ammonium,234,G30Y75_exp3A,A_5_20_F_A,A_5_20_F,2.518,13.433,A_5,20,F,A,224.0362958,232.295666,181.7463533,240.7541063,268.6200368,193.5251495,16.71781055,7.462099161,Low
692,G30Y76,exp1B,Nitrate,169,G30Y76_exp1B,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,163.3312,173.1678335,157.8680904,152.6357653,157.4696952,132.8806264,-10.69543471,-6.548310861,Low
337,G30Y76,exp2A,Ammonium,209,G30Y76_exp2A,A_5_20_F_A,A_5_20_F,2.518,13.433,A_5,20,F,A,157.5343902,122.2984611,88.18921619,141.2435727,83.35929456,48.22164592,-16.29081751,-10.34111821,Low
308,G30Y76,exp3A,Ammonium,237,G30Y76_exp3A,A_5_20_F_A,A_5_20_F,2.518,13.433,A_5,20,F,A,175.3058477,179.8760203,153.9407816,173.3484083,182.9133431,146.9589487,-1.957439449,-1.11658537,Low
675,G30Y77,exp1B,Nitrate,183,G30Y77_exp1B,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5,20,F,A,232.779807,212.7706813,208.4007878,232.8950623,215.1389559,197.4335251,0.115255253,0.049512565,Low
258,G30Y77,exp2A,Ammonium,232,G30Y77_exp2A,A_5_20_F_A,A_5_20_F,2.518,13.433,A_5,20,F,A,190.2414811,206.8839196,160.6297576,223.8471059,242.2579012,206.8802068,33.60562475,17.66471989,Low
291,G30Y77,exp3A,Ammonium,237,G30Y77_exp3A,A_5_20_F_A,A_5_20_F,2.518,13.433,A_5,20,F,A,178.8030418,193.7477225,149.3254965,186.1807296,188.8857385,131.2770627,7.377687776,4.126153392,Low
684,G31Y80,exp1A,Nitrate,168,G31Y80_exp1A,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5,20,S,A,195.6425124,231.2064881,204.2604176,189.5682074,220.4428473,182.7580198,-6.074304934,-3.104798063,Low
356,G31Y80,exp2B,Ammonium,178,G31Y80_exp2B,A_5_30_S_A,A_5_30_S,3.08375,19.91575,A_5,30,S,A,168.7502557,162.5922484,153.4551504,113.689854,91.7716789,78.14447814,-55.06040177,-32.62833679,Low
677,G31Y82,exp1A,Nitrate,150,G31Y82_exp1A,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5,20,S,A,180.2316349,172.5443285,145.6491006,178.52177,167.4776461,138.5577362,-1.709864891,-0.948704089,Low
307,G31Y82,exp2B,Ammonium,225,G31Y82_exp2B,A_5_30_S_A,A_5_30_S,3.08375,19.91575,A_5,30,S,A,97.74155305,105.6373784,76.64845619,96.82307262,111.8010851,79.40097221,-0.918480425,-0.939703122,Low
325,G32Y87,exp1A,Ammonium,160,G32Y87_exp1A,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5,30,F,A,176.2052307,129.2808951,120.3068993,163.5378613,109.9481036,86.4738815,-12.66736939,-7.188986015,Low
244,G32Y87,exp2A,Ammonium,197,G32Y87_exp2A,A_5_20_S_A,A_5_20_S,3.4665,11.236,A_5,20,S,A,101.7726863,95.191818,65.71915761,166.9704707,168.3276462,134.2990219,65.19778446,64.06216328,Low
348,G32Y87,exp3A,Ammonium,236,G32Y87_exp3A,A_5_20_S_A,A_5_20_S,3.4665,11.236,A_5,20,S,A,157.7200766,160.121388,129.8250465,128.660426,138.5244907,97.53549219,-29.05965055,-18.42482655,Low
295,G32Y88,exp1A,Ammonium,145,G32Y88_exp1A,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5,30,F,A,168.3470975,124.1569642,71.30832503,173.2284394,127.9801413,71.57580914,4.881341877,2.899569966,Low
313,G32Y88,exp2A,Ammonium,218,G32Y88_exp2A,A_5_20_S_A,A_5_20_S,3.4665,11.236,A_5,20,S,A,174.3326376,191.4609259,141.977418,169.2954723,200.1136868,147.0025744,-5.037165342,-2.889398917,Low
301,G32Y88,exp3A,Ammonium,237,G32Y88_exp3A,A_5_20_S_A,A_5_20_S,3.4665,11.236,A_5,20,S,A,179.5028697,163.4186857,126.3085672,183.0434644,190.8470681,144.4606391,3.540594717,1.972444632,Low
322,G32Y90,exp2A,Ammonium,233,G32Y90_exp2A,A_5_20_S_A,A_5_20_S,3.4665,11.236,A_5,20,S,A,172.1341818,146.8018551,97.92972298,160.6333743,146.3870387,89.93066447,-11.50080745,-6.6813037,Low
316,G32Y90,exp3A,Ammonium,237,G32Y90_exp3A,A_5_20_S_A,A_5_20_S,3.4665,11.236,A_5,20,S,A,224.5727923,235.1078241,202.1704956,216.0038426,227.2245636,191.0606875,-8.568949706,-3.815666901,Low
636,G33Y1,exp3A,Nitrate,226,G33Y1_exp3A,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5,30,F,A,226.4523301,250.7771864,208.7508429,278.3771943,273.4042404,204.7133828,51.92486423,22.92971073,Low
251,G33Y94,exp1B,Ammonium,167,G33Y94_exp1B,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5,30,F,A,226.1223398,212.5480525,173.5647677,279.0433154,283.8259983,234.7729193,52.92097566,23.40369187,Low
651,G33Y94,exp2A,Nitrate,186,G33Y94_exp2A,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5,30,F,A,146.0687572,119.3542539,90.54130215,164.3869249,107.4839675,110.5624712,18.31816774,12.54078428,Low
652,G33Y94,exp3A,Nitrate,237,G33Y94_exp3A,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5,30,F,A,149.1807081,153.9236977,120.9664884,167.3971613,172.8622517,124.3676502,18.21645317,12.21099792,Low
