,beetag,exprun,n_species,col_num,beetag_exprun,treat_ID_full,treat_ID_dose_temp_food,NO3_mean_observed,NH4_mean_observed,N_species_dose,temp,food,sym_state,red_day1,green_day1,blue_day1,red_day11,green_day11,blue_day11,red_delta,red_percent_change,NO3_category
125,R12W56,exp2B,Ammonium,171,R12W56_exp2B,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10,30,F,A,108.3632157,72.05897201,62.59924901,149.006817,120.258816,107.7022562,40.64360135,37.5068247,Low
183,R12W57,exp1A,Ammonium,146,R12W57_exp1A,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10,30,F,A,154.3987872,107.7492783,83.27034953,150.6695193,99.9142463,84.54719292,-3.72926784,-2.415347885,Low
203,R12W57,exp2B,Ammonium,215,R12W57_exp2B,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10,30,F,A,217.5109169,237.7342507,183.0038103,197.8277829,217.8336588,173.5401112,-19.68313402,-9.049262584,Low
122,R13W62,exp1B,Ammonium,167,R13W62_exp1B,A_10_20_F_A,A_10_20_F,3.503,12.384,A_10,20,F,A,213.8559842,204.7161898,187.3746598,210.7575788,209.3711067,194.925678,-3.098405443,-0.01448828,Low
151,R13W62,exp2A,Ammonium,198,R13W62_exp2A,A_10_20_S_A,A_10_20_S,3.133,20.30575,A_10,20,S,A,124.5020521,100.4174066,71.96735461,139.4344841,113.3287897,64.37266038,14.93243207,11.99372366,Low
185,R13W62,exp3A,Ammonium,236,R13W62_exp3A,A_10_20_S_A,A_10_20_S,3.133,20.30575,A_10,20,S,A,137.9086461,130.0873824,87.6832677,133.7110765,142.3873302,103.7675761,-4.197569586,-3.043731995,Low
235,R13W63,exp1B,Ammonium,178,R13W63_exp1B,A_10_20_F_A,A_10_20_F,3.503,12.384,A_10,20,F,A,131.0655777,122.6284145,110.5932589,148.6993787,143.6823141,130.0508411,17.63380109,0.134541818,Low
220,R13W63,exp2A,Ammonium,220,R13W63_exp2A,A_10_20_S_A,A_10_20_S,3.133,20.30575,A_10,20,S,A,127.2252148,102.2973929,62.92646194,109.9740882,80.15355678,43.69414044,-17.25112662,-13.55951856,Low
155,R13W63,exp3A,Ammonium,237,R13W63_exp3A,A_10_20_S_A,A_10_20_S,3.133,20.30575,A_10,20,S,A,108.4949407,102.4436694,71.71175977,119.5000598,99.10552472,101.0206612,11.0051191,10.14343989,Low
169,R13W64,exp1B,Ammonium,184,R13W64_exp1B,A_10_20_F_A,A_10_20_F,3.503,12.384,A_10,20,F,A,161.0436207,194.375748,177.9312522,164.9314497,195.3818984,176.5507294,3.887829007,2.414146546,Low
191,R13W67,exp2A,Ammonium,222,R13W67_exp2A,A_10_20_S_A,A_10_20_S,3.133,20.30575,A_10,20,S,A,137.7920794,112.1926572,80.77166712,130.9302914,99.50211897,42.98314012,-6.86178797,-4.979813063,Low
130,R14W70,exp1B,Ammonium,169,R14W70_exp1B,A_10_20_S_A,A_10_20_S,3.133,20.30575,A_10,20,S,A,119.9263166,112.7844883,64.2733153,148.3148887,138.2939321,97.98857556,28.38857215,23.67167855,Low
750,R14W70,exp2A,Nitrate,186,R14W70_exp2A,N_18_30_F_A,N_18_30_F,11.664,8.8355,N_18,30,F,A,165.7973282,144.1925086,115.3385116,187.8247451,164.1568836,124.1358974,22.02741692,13.28574903,Elevated
784,R14W70,exp3A,Nitrate,227,R14W70_exp3A,N_18_30_F_A,N_18_30_F,11.664,8.8355,N_18,30,F,A,91.31874613,81.30950484,38.07640011,91.76619275,88.53678203,44.90777032,0.447446619,0.489983314,Elevated
221,R14W71,exp1B,Ammonium,180,R14W71_exp1B,A_10_20_S_A,A_10_20_S,3.133,20.30575,A_10,20,S,A,151.2205897,111.2850987,83.08594306,130.499065,81.19766288,52.44517073,-20.72152464,-13.70284607,Low
742,R14W71,exp2A,Nitrate,202,R14W71_exp2A,N_18_30_F_A,N_18_30_F,11.664,8.8355,N_18,30,F,A,160.3334797,98.75551121,86.80127273,190.0528261,132.8278654,120.6336936,29.71934635,18.53595793,Elevated
829,R14W71,exp3A,Nitrate,237,R14W71_exp3A,N_18_30_F_A,N_18_30_F,11.664,8.8355,N_18,30,F,A,122.2013026,120.0237204,91.82554639,86.20181808,55.15079081,19.86727437,-35.99948456,-29.45916597,Elevated
158,R14W72,exp1B,Ammonium,187,R14W72_exp1B,A_10_20_S_A,A_10_20_S,3.133,20.30575,A_10,20,S,A,192.869913,211.4107687,185.4090832,206.3500372,232.5414563,216.9406234,13.48012425,6.989231259,Low
739,R14W72,exp2A,Nitrate,228,R14W72_exp2A,N_18_30_F_A,N_18_30_F,11.664,8.8355,N_18,30,F,A,112.9454841,71.91195371,56.22870945,137.0629004,95.52413722,83.29517824,24.11741635,21.35314798,Elevated
788,R14W74,exp3A,Nitrate,240,R14W74_exp3A,N_18_30_S_A,N_18_30_S,17.905,15.95375,N_18,30,S,A,135.7788622,105.9777526,100.2136169,134.8615828,96.00255306,87.07381244,-0.917279339,-0.675568586,Elevated
212,R15W75,exp1B,Ammonium,169,R15W75_exp1B,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,254.3959964,240.2035756,213.4353828,228.4288435,217.5992923,201.772461,-25.96715294,-10.20737484,Low
763,R15W75,exp2A,Nitrate,194,R15W75_exp2A,N_18_30_S_A,N_18_30_S,17.905,15.95375,N_18,30,S,A,136.8163961,144.686354,113.1108538,146.9005932,170.3145097,125.6742605,10.08419704,7.370605659,Elevated
803,R15W75,exp3A,Nitrate,232,R15W75_exp3A,N_18_30_S_A,N_18_30_S,17.905,15.95375,N_18,30,S,A,162.5426328,182.9949901,138.8695558,148.5388581,154.6018649,93.27070359,-14.00377471,-8.6154472,Elevated
