col_num,treat_ID_full,red_day1,red_day11,red_delta,red_percent_change,pollution,dose,temp,feed,symbiont,rgb_status,PercOutliersCheck,dose_level,new_treat_ID_full
207,N_5_30_S_A,123.9645915,163.951439,39.9868475,32.25666864,Nitrate,5,30,Starved,Aposymbiotic,bleached,NA,Medium,Nitrate_Medium_30_Starved_Aposymbiotic
171,A_5_20_F_S,122.3270331,161.1748415,38.84780837,31.75733719,Ammonium,5,20,Fed,Symbiotic,bleached,NA,Low,Ammonium_Low_20_Fed_Symbiotic
150,N_18_20_F_A,170.5697279,224.3912421,53.82151417,31.55396612,Nitrate,18,20,Fed,Aposymbiotic,bleached,NA,High,Nitrate_High_20_Fed_Aposymbiotic
184,N_1.5_30_S_A,119.2475387,156.2611821,37.01364335,31.03933528,Nitrate,1.5,30,Starved,Aposymbiotic,bleached,NA,Low,Nitrate_Low_30_Starved_Aposymbiotic
182,A_7.5_20_S_S,128.3129509,168.1025105,39.78955955,31.00977669,Ammonium,7.5,20,Starved,Symbiotic,bleached,NA,Medium,Ammonium_Medium_20_Starved_Symbiotic
196,N_0_30_S_S,102.4156125,133.9673116,31.55169905,30.80750901,Nitrate,0,30,Starved,Symbiotic,bleached,NA,control-0,Nitrate_control-0_30_Starved_Symbiotic
201,N_18_30_F_A,126.3183901,164.8561575,38.53776747,30.5084378,Nitrate,18,30,Fed,Aposymbiotic,bleached,NA,High,Nitrate_High_30_Fed_Aposymbiotic
184,A_7.5_20_F_A,145.7816617,189.9464412,44.16477952,30.29515443,Ammonium,7.5,20,Fed,Aposymbiotic,bleached,NA,Medium,Ammonium_Medium_20_Fed_Aposymbiotic
226,A_0_30_F_S,128.1610384,166.9546349,38.7935965,30.26941493,Ammonium,0,30,Fed,Symbiotic,bleached,NA,control-0,Ammonium_control-0_30_Fed_Symbiotic
245,A_10_20_F_S,136.1470325,177.2871138,41.14008131,30.21739112,Ammonium,10,20,Fed,Symbiotic,bleached,NA,High,Ammonium_High_20_Fed_Symbiotic
152,A_7.5_20_F_S,102.0179402,132.672865,30.6549248,30.04856278,Ammonium,7.5,20,Fed,Symbiotic,bleached,NA,Medium,Ammonium_Medium_20_Fed_Symbiotic
160,N_1.5_20_F_S,157.3440537,204.5684957,47.22444196,30.01349008,Nitrate,1.5,20,Fed,Symbiotic,bleached,NA,Low,Nitrate_Low_20_Fed_Symbiotic
155,A_5_30_S_A,121.8919231,157.8395601,35.94763699,29.49140195,Ammonium,5,30,Starved,Aposymbiotic,bleached,NA,Low,Ammonium_Low_30_Starved_Aposymbiotic
233,A_10_30_S_S,132.103862,170.7512538,38.64739181,29.25530807,Ammonium,10,30,Starved,Symbiotic,bleached,NA,High,Ammonium_High_30_Starved_Symbiotic
193,N_18_30_S_S,112.2794415,145.0610492,32.78160772,29.19644709,Nitrate,18,30,Starved,Symbiotic,bleached,NA,High,Nitrate_High_30_Starved_Symbiotic
193,N_0_30_S_A,109.2905171,141.0173552,31.72683807,29.02981788,Nitrate,0,30,Starved,Aposymbiotic,bleached,NA,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
209,N_5_20_S_A,133.4299264,171.6263321,38.19640573,28.62656584,Nitrate,5,20,Starved,Aposymbiotic,bleached,NA,Medium,Nitrate_Medium_20_Starved_Aposymbiotic
214,A_7.5_30_F_S,117.0171866,150.3504199,33.33323328,28.48575859,Ammonium,7.5,30,Fed,Symbiotic,bleached,NA,Medium,Ammonium_Medium_30_Fed_Symbiotic
168,N_5_20_F_A,153.6622942,196.6880497,43.02575554,28.00020381,Nitrate,5,20,Fed,Aposymbiotic,bleached,NA,Medium,Nitrate_Medium_20_Fed_Aposymbiotic
208,N_0_30_S_S,142.1793515,180.7726439,38.59329232,27.14409083,Nitrate,0,30,Starved,Symbiotic,bleached,NA,control-0,Nitrate_control-0_30_Starved_Symbiotic
223,A_10_30_S_S,160.0658104,203.4983882,43.43257779,27.13420041,Ammonium,10,30,Starved,Symbiotic,bleached,NA,High,Ammonium_High_30_Starved_Symbiotic
240,A_5_30_S_S,150.5719919,190.972264,40.40027201,26.8311998,Ammonium,5,30,Starved,Symbiotic,bleached,NA,Low,Ammonium_Low_30_Starved_Symbiotic
208,N_5_20_S_S,152.4140998,192.4994624,40.08536263,26.30029812,Nitrate,5,20,Starved,Symbiotic,bleached,NA,Medium,Nitrate_Medium_20_Starved_Symbiotic
250,N_0_30_S_S,147.0261089,185.1396405,38.11353162,25.92296831,Nitrate,0,30,Starved,Symbiotic,bleached,NA,control-0,Nitrate_control-0_30_Starved_Symbiotic
170,N_0_30_S_A,176.6114095,222.1274924,45.51608299,25.7718814,Nitrate,0,30,Starved,Aposymbiotic,bleached,NA,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
256,A_10_30_S_S,187.7957126,235.8558603,48.06014769,25.5917172,Ammonium,10,30,Starved,Symbiotic,bleached,NA,High,Ammonium_High_30_Starved_Symbiotic
225,N_5_20_S_S,98.517007950000007,123.5621567,25.04514875,25.42215733,Nitrate,5,20,Starved,Symbiotic,bleached,NA,Medium,Nitrate_Medium_20_Starved_Symbiotic
182,A_0_30_S_S,114.323087,142.791098,28.46801104,24.90136664,Ammonium,0,30,Starved,Symbiotic,bleached,NA,control-0,Ammonium_control-0_30_Starved_Symbiotic
240,A_7.5_30_S_S,117.8483818,147.164477,29.3160952,24.87611178,Ammonium,7.5,30,Starved,Symbiotic,bleached,NA,Medium,Ammonium_Medium_30_Starved_Symbiotic
163,N_1.5_20_F_A,124.9076374,155.6946474,30.78700997,24.64782027,Nitrate,1.5,20,Fed,Aposymbiotic,bleached,NA,Low,Nitrate_Low_20_Fed_Aposymbiotic
192,N_5_20_F_A,105.0703265,130.8359055,25.76557897,24.52222224,Nitrate,5,20,Fed,Aposymbiotic,bleached,NA,Medium,Nitrate_Medium_20_Fed_Aposymbiotic
208,N_1.5_30_S_S,182.29842,226.8801411,44.58172109,24.45535244,Nitrate,1.5,30,Starved,Symbiotic,bleached,NA,Low,Nitrate_Low_30_Starved_Symbiotic
209,N_5_30_S_S,96.61503928,120.2156384,23.60059916,24.42745906,Nitrate,5,30,Starved,Symbiotic,bleached,NA,Medium,Nitrate_Medium_30_Starved_Symbiotic
169,A_10_20_S_A,119.9263166,148.3148887,28.38857215,23.67167855,Ammonium,10,20,Starved,Aposymbiotic,bleached,NA,High,Ammonium_High_20_Starved_Aposymbiotic
167,A_7.5_20_S_S,149.1872244,184.3373841,35.15015965,23.56110571,Ammonium,7.5,20,Starved,Symbiotic,bleached,NA,Medium,Ammonium_Medium_20_Starved_Symbiotic
206,A_10_30_S_S,133.4607381,164.7831219,31.32238383,23.46936206,Ammonium,10,30,Starved,Symbiotic,bleached,NA,High,Ammonium_High_30_Starved_Symbiotic
167,A_5_30_F_A,226.1223398,279.0433154,52.92097566,23.40369187,Ammonium,5,30,Fed,Aposymbiotic,bleached,NA,Low,Ammonium_Low_30_Fed_Aposymbiotic
210,A_0_30_F_A,120.5766622,148.6954031,28.11874086,23.32021831,Ammonium,0,30,Fed,Aposymbiotic,bleached,NA,control-0,Ammonium_control-0_30_Fed_Aposymbiotic
188,N_18_20_S_S,103.1552742,127.0354937,23.8802195,23.14978044,Nitrate,18,20,Starved,Symbiotic,bleached,NA,High,Nitrate_High_20_Starved_Symbiotic
193,N_5_30_S_S,135.8953778,167.2266919,31.3313141,23.05546709,Nitrate,5,30,Starved,Symbiotic,bleached,NA,Medium,Nitrate_Medium_30_Starved_Symbiotic
226,N_1.5_30_F_A,226.4523301,278.3771943,51.92486423,22.92971073,Nitrate,1.5,30,Fed,Aposymbiotic,bleached,NA,Low,Nitrate_Low_30_Fed_Aposymbiotic
170,A_0_30_F_A,181.2548242,222.745915,41.49109078,22.89102701,Ammonium,0,30,Fed,Aposymbiotic,bleached,NA,control-0,Ammonium_control-0_30_Fed_Aposymbiotic
144,A_7.5_30_F_S,80.41923776,98.81998549,18.40074773,22.88102728,Ammonium,7.5,30,Fed,Symbiotic,bleached,NA,Medium,Ammonium_Medium_30_Fed_Symbiotic
226,N_0_30_F_A,118.5444912,145.4182097,26.87371845,22.66973199,Nitrate,0,30,Fed,Aposymbiotic,bleached,NA,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
208,N_5_20_S_S,125.4997232,153.6446374,28.14491416,22.42627588,Nitrate,5,20,Starved,Symbiotic,bleached,NA,Medium,Nitrate_Medium_20_Starved_Symbiotic
