col_num,treat_ID_full,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,pollution,dose,temp,feed,symbiont,pam_status,PercOutliersCheck,dose_level,new_treat_ID_full
174,N_0_30_F_A,0.353,0.178,-0.175,-0.495750708,-1.742969305,Nitrate,0,30,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
201,N_0_30_F_A,0.467,0.485,0.018,0.038543897,-4.017383521,Nitrate,0,30,Fed,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
226,N_0_30_F_A,0.36,0.282,-0.078,-0.216666667,-2.551046452,Nitrate,0,30,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
185,N_0_30_F_S,0.447,0.402,-0.045,-0.100671141,-3.101092789,Nitrate,0,30,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
206,N_0_30_F_S,0.237,0.485,0.248,1.046413502,-1.394326533,Nitrate,0,30,Fed,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
193,N_0_30_S_A,0.484,0.057,-0.427,-0.882231405,-0.850971266,Nitrate,0,30,Starved,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
206,N_0_30_S_A,0.369,0.398,0.029,0.078590786,-3.540459449,Nitrate,0,30,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
230,N_0_30_S_A,0.374,0.523,0.149,0.398395722,-1.903808973,Nitrate,0,30,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
196,N_0_30_S_S,0.521,0.484,-0.037,-0.071017274,-3.296837366,Nitrate,0,30,Starved,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Starved_Symbiotic
208,N_0_30_S_S,0.019,0.509,0.49,25.78947368,-0.713349888,Nitrate,0,30,Starved,Symbiotic,increase,TRUE,control-0,Nitrate_control-0_30_Starved_Symbiotic
149,N_0_20_F_A,0.562,0.361,-0.201,-0.357651246,-1.604450371,Nitrate,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
184,N_0_20_F_A,0.53,0.51,-0.02,-0.037735849,-3.912023005,Nitrate,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
159,N_0_20_F_S,0.402,0.362,-0.04,-0.099502488,-3.218875825,Nitrate,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
202,N_0_20_F_S,0.56,0.157,-0.403,-0.719642857,-0.908818717,Nitrate,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
223,N_0_20_F_S,0.544,0.569,0.025,0.045955882,-3.688879454,Nitrate,0,20,Fed,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
169,N_0_20_S_A,0.528,0.47,-0.058,-0.109848485,-2.847312268,Nitrate,0,20,Starved,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
203,N_0_20_S_A,0.432,0.37,-0.062,-0.143518519,-2.780620894,Nitrate,0,20,Starved,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
180,N_0_20_S_S,0.509,0.581,0.072,0.141453831,-2.63108916,Nitrate,0,20,Starved,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
208,N_0_20_S_S,0.505,0.587,0.082,0.162376238,-2.501036032,Nitrate,0,20,Starved,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
224,N_0_20_S_S,0.562,0.592,0.03,0.053380783,-3.506557897,Nitrate,0,20,Starved,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
167,N_0_30_F_A,0.325,0.279,-0.046,-0.141538462,-3.079113882,Nitrate,0,30,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
195,N_0_30_F_A,0.542,0.376,-0.166,-0.306273063,-1.795767491,Nitrate,0,30,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
174,N_0_30_F_S,0.529,0.453,-0.076,-0.143667297,-2.577021939,Nitrate,0,30,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
206,N_0_30_F_S,0.546,0.205,-0.341,-0.624542125,-1.075872802,Nitrate,0,30,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
223,N_0_30_F_S,0.553,0.472,-0.081,-0.146473779,-2.513306124,Nitrate,0,30,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
170,N_0_30_S_A,0.525,0.434,-0.091,-0.173333333,-2.396895772,Nitrate,0,30,Starved,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
211,N_0_30_S_A,0.467,0.454,-0.013,-0.027837259,-4.342805922,Nitrate,0,30,Starved,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
188,N_0_30_S_S,0.564,0.469,-0.095,-0.168439716,-2.353878387,Nitrate,0,30,Starved,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Starved_Symbiotic
208,N_0_30_S_S,0.511,0.529,0.018,0.035225049,-4.017383521,Nitrate,0,30,Starved,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Symbiotic
225,N_0_30_S_S,0.485,0.485,0,0,0,Nitrate,0,30,Starved,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Starved_Symbiotic
