"","col_num","treat_ID_full","e_coli","abs_resp_rate_SA_corr","pollution","dose","temp","feed","symbiont","dose_level","new_treat_ID_full"
"75",150,"N_18_30_F_A",0,0.035350644,"Nitrate","18","30","Fed","Aposymbiotic","High","Nitrate_High_30_Fed_Aposymbiotic"
"76",142,"N_18_30_F_S",0,0.074607186,"Nitrate","18","30","Fed","Symbiotic","High","Nitrate_High_30_Fed_Symbiotic"
"77",153,"N_18_30_F_S",1,0.067149643,"Nitrate","18","30","Fed","Symbiotic","High","Nitrate_High_30_Fed_Symbiotic"
"78",162,"N_18_20_S_A",0,0.163237547,"Nitrate","18","20","Starved","Aposymbiotic","High","Nitrate_High_20_Starved_Aposymbiotic"
"79",151,"N_18_20_S_A",1,0.075586117,"Nitrate","18","20","Starved","Aposymbiotic","High","Nitrate_High_20_Starved_Aposymbiotic"
"80",154,"N_18_20_S_S",0,0.110401615,"Nitrate","18","20","Starved","Symbiotic","High","Nitrate_High_20_Starved_Symbiotic"
"81",157,"N_18_20_S_S",1,0.146789783,"Nitrate","18","20","Starved","Symbiotic","High","Nitrate_High_20_Starved_Symbiotic"
"82",163,"N_18_30_S_A",1,0.087885845,"Nitrate","18","30","Starved","Aposymbiotic","High","Nitrate_High_30_Starved_Aposymbiotic"
"83",151,"N_18_30_S_A",0,0.131075436,"Nitrate","18","30","Starved","Aposymbiotic","High","Nitrate_High_30_Starved_Aposymbiotic"
"84",152,"N_18_30_S_S",0,0.091924684,"Nitrate","18","30","Starved","Symbiotic","High","Nitrate_High_30_Starved_Symbiotic"
"85",155,"N_18_30_S_S",1,0.093374609,"Nitrate","18","30","Starved","Symbiotic","High","Nitrate_High_30_Starved_Symbiotic"
"86",153,"A_10_20_F_A",1,0.153604196,"Ammonium","10","20","Fed","Aposymbiotic","High","Ammonium_High_20_Fed_Aposymbiotic"
"87",144,"A_10_20_F_A",0,0.09646691,"Ammonium","10","20","Fed","Aposymbiotic","High","Ammonium_High_20_Fed_Aposymbiotic"
"88",143,"A_10_20_F_S",0,0.141685101,"Ammonium","10","20","Fed","Symbiotic","High","Ammonium_High_20_Fed_Symbiotic"
"89",152,"A_10_20_F_S",1,0.064021807,"Ammonium","10","20","Fed","Symbiotic","High","Ammonium_High_20_Fed_Symbiotic"
"90",154,"A_10_20_S_A",0,0.137531772,"Ammonium","10","20","Starved","Aposymbiotic","High","Ammonium_High_20_Starved_Aposymbiotic"
"91",154,"A_10_20_S_A",1,0.150336838,"Ammonium","10","20","Starved","Aposymbiotic","High","Ammonium_High_20_Starved_Aposymbiotic"
"92",144,"A_10_20_S_S",0,0.124644067,"Ammonium","10","20","Starved","Symbiotic","High","Ammonium_High_20_Starved_Symbiotic"
"93",153,"A_10_20_S_S",1,0.201623781,"Ammonium","10","20","Starved","Symbiotic","High","Ammonium_High_20_Starved_Symbiotic"
"94",168,"N_5_20_S_A",1,0.060657881,"Nitrate","5","20","Starved","Aposymbiotic","Medium","Nitrate_Medium_20_Starved_Aposymbiotic"
