col_num,treat_ID_full,e_coli,resp_rate,pollution,dose,temp,feed,symbiont,dose_level,new_treat_ID_full
153,A_5_30_S_S,0,-0.00559,Ammonium,5,30,Starved,Symbiotic,Low,Ammonium_Low_30_Starved_Symbiotic
157,A_5_30_S_S,1,-0.00461,Ammonium,5,30,Starved,Symbiotic,Low,Ammonium_Low_30_Starved_Symbiotic
162,A_10_30_F_A,1,-0.0034600000000000004,Ammonium,10,30,Fed,Aposymbiotic,High,Ammonium_High_30_Fed_Aposymbiotic
146,A_10_30_F_A,0,-0.00502,Ammonium,10,30,Fed,Aposymbiotic,High,Ammonium_High_30_Fed_Aposymbiotic
153,A_10_30_F_S,1,-0.0051600000000000005,Ammonium,10,30,Fed,Symbiotic,High,Ammonium_High_30_Fed_Symbiotic
157,A_10_30_F_S,0,-0.00868,Ammonium,10,30,Fed,Symbiotic,High,Ammonium_High_30_Fed_Symbiotic
150,A_10_30_S_A,1,-0.009710000000000002,Ammonium,10,30,Starved,Aposymbiotic,High,Ammonium_High_30_Starved_Aposymbiotic
165,A_10_30_S_A,0,-0.00595,Ammonium,10,30,Starved,Aposymbiotic,High,Ammonium_High_30_Starved_Aposymbiotic
153,A_10_30_S_S,0,-0.00284,Ammonium,10,30,Starved,Symbiotic,High,Ammonium_High_30_Starved_Symbiotic
157,A_10_30_S_S,1,-0.006980000000000001,Ammonium,10,30,Starved,Symbiotic,High,Ammonium_High_30_Starved_Symbiotic
150,N_18_20_F_A,0,-0.00265,Nitrate,18,20,Fed,Aposymbiotic,High,Nitrate_High_20_Fed_Aposymbiotic
147,N_18_20_F_S,0,-0.00661,Nitrate,18,20,Fed,Symbiotic,High,Nitrate_High_20_Fed_Symbiotic
153,N_18_20_F_S,1,-0.004920000000000001,Nitrate,18,20,Fed,Symbiotic,High,Nitrate_High_20_Fed_Symbiotic
168,N_18_20_F_A,1,-0.0037800000000000004,Nitrate,18,20,Fed,Aposymbiotic,High,Nitrate_High_20_Fed_Aposymbiotic
168,N_18_30_F_A,1,-0.00411,Nitrate,18,30,Fed,Aposymbiotic,High,Nitrate_High_30_Fed_Aposymbiotic
150,N_18_30_F_A,0,-0.0018300000000000002,Nitrate,18,30,Fed,Aposymbiotic,High,Nitrate_High_30_Fed_Aposymbiotic
142,N_18_30_F_S,0,-0.005390000000000001,Nitrate,18,30,Fed,Symbiotic,High,Nitrate_High_30_Fed_Symbiotic
153,N_18_30_F_S,1,-0.00551,Nitrate,18,30,Fed,Symbiotic,High,Nitrate_High_30_Fed_Symbiotic
162,N_18_20_S_A,0,-0.00419,Nitrate,18,20,Starved,Aposymbiotic,High,Nitrate_High_20_Starved_Aposymbiotic
151,N_18_20_S_A,1,-0.0053300000000000005,Nitrate,18,20,Starved,Aposymbiotic,High,Nitrate_High_20_Starved_Aposymbiotic
154,N_18_20_S_S,0,-0.0053100000000000005,Nitrate,18,20,Starved,Symbiotic,High,Nitrate_High_20_Starved_Symbiotic
157,N_18_20_S_S,1,-0.006500000000000001,Nitrate,18,20,Starved,Symbiotic,High,Nitrate_High_20_Starved_Symbiotic
163,N_18_30_S_A,1,-0.00566,Nitrate,18,30,Starved,Aposymbiotic,High,Nitrate_High_30_Starved_Aposymbiotic
151,N_18_30_S_A,0,-0.00434,Nitrate,18,30,Starved,Aposymbiotic,High,Nitrate_High_30_Starved_Aposymbiotic
152,N_18_30_S_S,0,-0.00423,Nitrate,18,30,Starved,Symbiotic,High,Nitrate_High_30_Starved_Symbiotic
155,N_18_30_S_S,1,-0.00451,Nitrate,18,30,Starved,Symbiotic,High,Nitrate_High_30_Starved_Symbiotic
153,A_10_20_F_A,1,-0.004370000000000001,Ammonium,10,20,Fed,Aposymbiotic,High,Ammonium_High_20_Fed_Aposymbiotic
144,A_10_20_F_A,0,-0.0029600000000000004,Ammonium,10,20,Fed,Aposymbiotic,High,Ammonium_High_20_Fed_Aposymbiotic
143,A_10_20_F_S,0,-0.005840000000000001,Ammonium,10,20,Fed,Symbiotic,High,Ammonium_High_20_Fed_Symbiotic
152,A_10_20_F_S,1,-0.014770000000000002,Ammonium,10,20,Fed,Symbiotic,High,Ammonium_High_20_Fed_Symbiotic
154,A_10_20_S_A,0,-0.0050100000000000006,Ammonium,10,20,Starved,Aposymbiotic,High,Ammonium_High_20_Starved_Aposymbiotic
154,A_10_20_S_A,1,-0.007090000000000001,Ammonium,10,20,Starved,Aposymbiotic,High,Ammonium_High_20_Starved_Aposymbiotic
144,A_10_20_S_S,0,-0.0073,Ammonium,10,20,Starved,Symbiotic,High,Ammonium_High_20_Starved_Symbiotic
153,A_10_20_S_S,1,-0.006960000000000001,Ammonium,10,20,Starved,Symbiotic,High,Ammonium_High_20_Starved_Symbiotic
150,N_5_20_S_A,0,-0.00585,Nitrate,5,20,Starved,Aposymbiotic,Medium,Nitrate_Medium_20_Starved_Aposymbiotic
154,N_5_20_S_S,0,-0.0034700000000000004,Nitrate,5,20,Starved,Symbiotic,Medium,Nitrate_Medium_20_Starved_Symbiotic
157,N_5_20_S_S,1,-0.0061600000000000005,Nitrate,5,20,Starved,Symbiotic,Medium,Nitrate_Medium_20_Starved_Symbiotic
