date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,stand_beetag,peg_beetag,exp_beetag,exp_num,exp_subrun,beetag_exprun,exp_startdate,N_species,N_dose,temp,food,sym_state,treat_ID,N_species_dose,PES_day2,PES_day6,PES_day10
06_22_22,06_23_22,145,F,145F,99,12,B14,G20,B14G20,1,A,B14G20_exp1A,7_15_22,N,0,20,F,S,N_0_20_F_S,N_0,1,4,2
06_22_22,06_24_22,150,E,150E,101,10,B27,G54,B27G54,1,A,B27G54_exp1A,7_15_22,N,0,30,F,A,N_0_30_F_A,N_0,2,4,2
06_22_22,06_23_22,142,H,142H,97,8,B27,G55,B27G55,1,A,B27G55_exp1A,7_15_22,N,0,30,F,S,N_0_30_F_S,N_0,2,4,2
06_29_22,06_30_22,184,F,184F,126,4,B32,G85,B32G85,1,B,B32G85_exp1B,7_17_22,N,0,30,S,A,N_0_30_S_A,N_0,1,4,2
06_29_22,07_07_22,226,O,226O,148,8,B25,G45,B25G45,2,A,B25G45_exp2A,8_4_22,N,0,30,F,A,N_0_30_F_A,N_0,2,4,2
06_29_22,07_07_22,226,K,226K,148,4,B13,G8,B13G8,2,A,B13G8_exp2A,8_4_22,N,0,20,F,A,N_0_20_F_A,N_0,4,4,2
08_01_22,08_02_22,237,E,237E,154,7,B13,G3,B13G3,3,A,B13G3_exp3A,08_21_22,N,0,20,F,A,N_0_20_F_A,N_0,2,4,2
06_22_22,06_24_22,160,A,160A,109,15,G31,Y84,G31Y84,1,A,G31Y84_exp1A,7_15_22,N,1.5,20,S,S,N_1.5_20_S_S,N_1.5,2,4,2
06_29_22,06_30_22,187,C,187C,128,8,G24,Y40,G24Y40,2,A,G24Y40_exp2A,8_4_22,N,1.5,20,S,A,N_1.5_20_S_A,N_1.5,1,4,2
06_29_22,06_30_22,196,I,196I,132,2,G26,Y51,G26Y51,2,B,G26Y51_exp2B,8_9_22,N,1.5,30,F,A,N_1.5_30_F_A,N_1.5,2,4,2
06_29_22,06_30_22,170,C,170C,117,6,G28,Y62,G28Y62,2,B,G28Y62_exp2B,8_9_22,N,1.5,30,S,A,N_1.5_30_S_A,N_1.5,3,4,2
08_01_22,08_03_22,239,H,239H,160,12,G33,Y97,G33Y97,3,A,G33Y97_exp3A,08_21_22,N,1.5,30,F,S,N_1.5_30_F_S,N_1.5,2,4,2
06_22_22,06_24_22,154,E,154E,105,16,R5,W26,R5W26,1,A,R5W26_exp1A,7_15_22,N,18,20,S,S,N_18_20_S_S,N_18,3,4,2
06_22_22,06_25_22,164,D,164D,111,16,R11,W53,R11W53,1,B,R11W53_exp1B,7_17_22,N,18,20,S,S,N_18_20_S_S,N_18,1,4,2
06_29_22,06_30_22,193,D,193D,130,7,R10,W48,R10W48,2,A,R10W48_exp2A,8_4_22,N,18,20,S,S,N_18_20_S_S,N_18,2,4,2
06_29_22,06_30_22,175,F,175F,121,16,R7,W37,R7W37,2,B,R7W37_exp2B,8_9_22,N,18,30,F,S,N_18_30_F_S,N_18,2,4,2
06_22_22,06_24_22,150,G,150G,101,12,Y2,B14,Y2B14,1,A,Y2B14_exp1A,7_15_22,N,5,30,F,A,N_5_30_F_A,N_5,3,4,2
06_29_22,07_07_22,228,I,228I,149,8,Y4,B32,Y4B32,2,A,Y4B32_exp2A,8_4_22,N,5,20,S,A,N_5_20_S_A,N_5,2,4,2
06_29_22,06_30_22,185,E,185E,127,4,Y3,B28,Y3B28,2,A,Y3B28_exp2A,8_4_22,N,5,20,F,S,N_5_20_F_S,N_5,4,4,2
06_29_22,07_07_22,223,F,223F,145,16,Y1,B12,Y1B12,2,B,Y1B12_exp2B,8_9_22,N,5,20,F,S,N_5_20_F_S,N_5,2,4,2
06_29_22,06_30_22,169,M,169M,117,1,Y5,B35,Y5B35,2,B,Y5B35_exp2B,8_9_22,N,5,20,S,A,N_5_20_S_A,N_5,3,4,2
06_22_22,06_23_22,144,B,144B,98,10,B31,G79,B31G79,1,A,B31G79_exp1A,7_15_22,A,0,30,F,S,A_0_30_F_S,A_0,4,4,3
06_29_22,07_07_22,224,D,224D,146,9,B34,G100,B34G100,2,B,B34G100_exp2B,8_9_22,A,0,30,S,A,A_0_30_S_A,A_0,2,4,3
08_01_22,8_05_22,252,AB,252AB,174,13,W3,O17,W3O17,3,B,W3O17_exp3B,08_25_22,A,0,30,F,S,A_0_30_F_S,A_0,2,4,3
08_01_22,8_06_22,255,C,255C,176,15,W4,O24,W4O24,3,B,W4O24_exp3B,08_25_22,A,0,30,S,S,A_0_30_S_S,A_0,2,4,3
08_01_22,8_05_22,252,C,252C,173,4,W4,O25,W4O25,3,B,W4O25_exp3B,08_25_22,A,0,30,S,S,A_0_30_S_S,A_0,2,4,3
06_29_22,06_30_22,169,B,169B,116,6,R14,W70,R14W70,1,B,R14W70_exp1B,7_17_22,A,10,20,S,A,A_10_20_S_A,A_10,3,4,3
06_29_22,06_30_22,180,B,180B,123,16,R14,W71,R14W71,1,B,R14W71_exp1B,7_17_22,A,10,20,S,A,A_10_20_S_A,A_10,4,4,3
06_29_22,06_30_22,184,H,184H,126,6,R20,W87,R20W87,2,B,R20W87_exp2B,8_9_22,A,10,30,S,A,A_10_30_S_A,A_10,3,4,3
08_01_22,08_03_22,243,D,243D,166,16,R21,W55,R21W55,3,A,R21W55_exp3A,08_21_22,A,10,30,S,S,A_10_30_S_S,A_10,2,4,3
06_22_22,06_23_22,143,C,143C,97,16,G36,Y26,G36Y26,1,A,G36Y26_exp1A,7_15_22,A,5,20,F,S,A_5_20_F_S,A_5,2,4,3
06_22_22,06_24_22,157,J,157J,107,10,G37,Y33,G37Y33,1,A,G37Y33_exp1A,7_15_22,A,5,30,S,S,A_5_30_S_S,A_5,1,4,3
06_29_22,06_30_22,182,J,182J,125,1,Y12,B67,Y12B67,1,B,Y12B67_exp1B,7_17_22,A,5,30,S,S,A_5_30_S_S,A_5,4,4,3
06_29_22,07_07_22,222,G,222G,145,9,G38,Y38,G38Y38,2,A,G38Y38_exp2A,8_4_22,A,5,30,S,S,A_5_30_S_S,A_5,2,4,3
06_29_22,07_01_22,198,H,198H,133,16,G35,Y23,G35Y23,2,A,G35Y23_exp2A,8_4_22,A,5,30,F,S,A_5_30_F_S,A_5,4,4,3
06_29_22,07_05_22,213,D,213D,142,3,G29,Y71,G29Y71,2,B,G29Y71_exp2B,8_9_22,A,5,30,F,A,A_5_30_F_A,A_5,2,4,3
06_29_22,06_30_22,196,J,196J,132,3,G29,Y72,G29Y72,2,B,G29Y72_exp2B,8_9_22,A,5,30,F,S,A_5_30_F_S,A_5,2,4,3
08_01_22,8_05_22,248,E,248E,170,10,W8,O38,W8O38,3,B,W8O38_exp3B,08_25_22,A,5,30,F,S,A_5_30_F_S,A_5,1,4,3
08_01_22,8_05_22,252,AG,252AG,175,2,W8,O39,W8O39,3,B,W8O39_exp3B,08_25_22,A,5,30,F,S,A_5_30_F_S,A_5,1,4,3
06_22_22,06_24_22,158,B,158B,109,6,Y21,B9940,Y21B9940,1,A,Y21B9940_exp1A,7_15_22,A,7.5,30,S,A,A_7.5_30_S_A,A_7.5,2,4,3
06_29_22,07_07_22,233,B,233B,151,6,Y23,B1927,Y23B1927,2,A,Y23B1927_exp2A,8_4_22,A,7.5,30,S,S,A_7.5_30_S_S,A_7.5,3,4,3
06_29_22,06_30_22,185,C,185C,127,2,Y10,B54,Y10B54,2,B,Y10B54_exp2B,8_9_22,A,7.5,20,F,S,A_7.5_20_F_S,A_7.5,1,4,3
06_29_22,07_07_22,234,C,234C,152,12,Y21,B5431,Y21B5431,2,B,Y21B5431_exp2B,8_9_22,A,7.5,30,S,S,A_7.5_30_S_S,A_7.5,3,4,3
08_01_22,8_05_22,247,A,247A,169,13,W13,O57,W13O57,3,B,W13O57_exp3B,08_25_22,A,7.5,30,F,A,A_7.5_30_F_A,A_7.5,3,4,3
06_22_22,06_24_22,147,F,147F,100,12,B27,G56,B27G56,1,A,B27G56_exp1A,7_15_22,N,0,30,F,S,N_0_30_F_S,N_0,3,4,3
06_22_22,06_25_22,166,D,166D,112,14,B23,G33,B23G33,1,B,B23G33_exp1B,7_17_22,N,0,20,S,A,N_0_20_S_A,N_0,3,4,3
06_29_22,06_30_22,174,F,174F,121,6,B31,G79,B31G79,2,B,B31G79_exp2B,8_9_22,N,0,30,F,S,N_0_30_F_S,N_0,2,4,3
06_29_22,07_01_22,202,D,202D,135,15,B14,G20,B14G20,2,B,B14G20_exp2B,8_9_22,N,0,20,F,S,N_0_20_F_S,N_0,3,4,3
06_22_22,06_24_22,147,A,147A,100,7,G29,Y73,G29Y73,1,A,G29Y73_exp1A,7_15_22,N,1.5,20,F,S,N_1.5_20_F_S,N_1.5,1,4,3
06_22_22,06_25_22,162,G,162G,111,3,G25,Y45,G25Y45,1,A,G25Y45_exp1A,7_15_22,N,1.5,30,S,A,N_1.5_30_S_A,N_1.5,1,4,3
06_22_22,06_24_22,155,A,155A,106,4,G25,Y48,G25Y48,1,A,G25Y48_exp1A,7_15_22,N,1.5,30,S,S,N_1.5_30_S_S,N_1.5,4,4,3
06_22_22,06_24_22,150,F,150F,101,11,G28,Y63,G28Y63,1,A,G28Y63_exp1A,7_15_22,N,1.5,30,F,A,N_1.5_30_F_A,N_1.5,3,4,3
06_22_22,06_23_22,142,I,142I,97,9,G28,Y64,G28Y64,1,A,G28Y64_exp1A,7_15_22,N,1.5,30,F,S,N_1.5_30_F_S,N_1.5,2,4,3
06_22_22,06_24_22,153,R,153R,105,6,G28,Y67,G28Y67,1,A,G28Y67_exp1A,7_15_22,N,1.5,30,F,S,N_1.5_30_F_S,N_1.5,2,4,3
06_22_22,06_24_22,161,D,161D,110,11,G23,Y2129,G23Y2129,1,B,G23Y2129_exp1B,7_17_22,N,1.5,30,F,S,N_1.5_30_F_S,N_1.5,2,4,3
06_29_22,07_01_22,203,B,203B,136,1,G24,Y41,G24Y41,2,A,G24Y41_exp2A,8_4_22,N,1.5,20,S,A,N_1.5_20_S_A,N_1.5,3,4,3
06_29_22,07_07_22,225,N,225N,147,9,G28,Y67,G28Y67,2,B,G28Y67_exp2B,8_9_22,N,1.5,30,S,S,N_1.5_30_S_S,N_1.5,3,4,3
08_01_22,8_05_22,251,L,251L,172,13,W5,O26,W5O26,3,B,W5O26_exp3B,08_25_22,N,1.5,30,F,S,N_1.5_30_F_S,N_1.5,1,4,3
06_29_22,06_30_22,184,J,184J,126,8,G25,Y46,G25Y46,2,B,G25Y46_exp2B,8_9_22,N,1.5,20,F,A,N_1.5_20_F_A,N_1.5,2,4,3
06_22_22,06_25_22,166,K,166K,113,5,R11,W50,R11W50,1,B,R11W50_exp1B,7_17_22,N,18,20,S,A,N_18_20_S_A,N_18,2,4,3
06_29_22,06_30_22,167,C,167C,113,10,R17,W80,R17W80,1,B,R17W80_exp1B,7_17_22,N,18,30,S,A,N_18_30_S_A,N_18,3,4,3
06_29_22,06_30_22,184,L,184L,126,10,R17,W83,R17W83,1,B,R17W83_exp1B,7_17_22,N,18,30,S,A,N_18_30_S_A,N_18,4,4,3
06_29_22,07_07_22,228,J,228J,149,9,R10,W47,R10W47,2,A,R10W47_exp2A,8_4_22,N,18,20,S,A,N_18_20_S_A,N_18,2,4,3
06_29_22,06_30_22,186,F,186F,127,16,R14,W70,R14W70,2,A,R14W70_exp2A,8_4_22,N,18,30,F,A,N_18_30_F_A,N_18,4,4,3
06_29_22,07_05_22,212,D,212D,141,12,R8,W41,R8W41,2,B,R8W41_exp2B,8_9_22,N,18,30,S,A,N_18_30_S_A,N_18,2,4,3
06_22_22,06_24_22,155,B,155B,106,5,Y14,B78,Y14B78,1,A,Y14B78_exp1A,7_15_22,N,5,30,S,S,N_5_30_S_S,N_5,3,4,3
06_22_22,06_25_22,164,C,164C,111,15,Y13,B73,Y13B73,1,B,Y13B73_exp1B,7_17_22,N,5,20,S,S,N_5_20_S_S,N_5,1,4,3
06_29_22,06_30_22,174,G,174G,121,7,Y3,B25,Y3B25,2,A,Y3B25_exp2A,8_4_22,N,5,20,F,A,N_5_20_F_A,N_5,1,4,3
06_29_22,07_01_22,204,B,204B,136,4,Y4,B31,Y4B31,2,A,Y4B31_exp2A,8_4_22,N,5,20,S,A,N_5_20_S_A,N_5,1,4,3
06_29_22,07_05_22,209,E,209E,139,16,Y5,B36,Y5B36,2,B,Y5B36_exp2B,8_9_22,N,5,20,S,A,N_5_20_S_A,N_5,2,4,3
06_29_22,07_07_22,225,F,225F,147,1,Y5,B39,Y5B39,2,B,Y5B39_exp2B,8_9_22,N,5,20,S,S,N_5_20_S_S,N_5,2,4,3
06_22_22,06_23_22,144,G,144G,98,15,B34,G3106,B34G3106,1,A,B34G3106_exp1A,7_15_22,A,0,20,S,S,A_0_20_S_S,A_0,2,4,4
06_29_22,06_30_22,167,E,167E,113,12,B26,G48,B26G48,1,B,B26G48_exp1B,7_17_22,A,0,20,F,A,A_0_20_F_A,A_0,2,4,4
06_29_22,06_30_22,184,Q,184Q,126,15,B13,G8,B13G8,1,B,B13G8_exp1B,7_17_22,A,0,30,F,A,A_0_30_F_A,A_0,2,4,4
06_29_22,06_30_22,196,E,196E,131,14,B28,G58,B28G58,2,A,B28G58_exp2A,8_4_22,A,0,30,F,A,A_0_30_F_A,A_0,3,4,4
06_29_22,06_30_22,196,D,196D,131,13,B33,G93,B33G93,2,B,B33G93_exp2B,8_9_22,A,0,30,F,S,A_0_30_F_S,A_0,1,4,4
06_29_22,07_05_22,213,C,213C,142,2,B33,G92,B33G92,2,B,B33G92_exp2B,8_9_22,A,0,30,F,A,A_0_30_F_A,A_0,2,4,4
06_22_22,06_24_22,154,G,154G,106,2,R8,W40,R8W40,1,A,R8W40_exp1A,7_15_22,A,10,20,S,A,A_10_20_S_A,A_10,3,4,4
06_22_22,06_24_22,154,C,154C,105,14,R8,W41,R8W41,1,A,R8W41_exp1A,7_15_22,A,10,20,S,A,A_10_20_S_A,A_10,3,4,4
06_22_22,06_23_22,144,K,144K,99,3,R8,W42,R8W42,1,A,R8W42_exp1A,7_15_22,A,10,20,S,S,A_10_20_S_S,A_10,3,4,4
06_29_22,06_30_22,178,E,178E,123,2,R13,W63,R13W63,1,B,R13W63_exp1B,7_17_22,A,10,20,F,A,A_10_20_F_A,A_10,2,4,4
06_29_22,06_30_22,167,I,167I,113,16,R13,W62,R13W62,1,B,R13W62_exp1B,7_17_22,A,10,20,F,A,A_10_20_F_A,A_10,2,4,4
06_29_22,06_30_22,184,P,184P,126,14,R13,W64,R13W64,1,B,R13W64_exp1B,7_17_22,A,10,20,F,A,A_10_20_F_A,A_10,5,4,4
06_29_22,06_30_22,167,S,167S,114,10,R1,W2,R1W2,1,B,R1W2_exp1B,7_17_22,A,10,30,F,A,A_10_30_F_A,A_10,2,4,4
06_29_22,06_30_22,167,L,167L,114,3,R1,W6,R1W6,1,B,R1W6_exp1B,7_17_22,A,10,30,F,S,A_10_30_F_S,A_10,2,4,4
06_29_22,06_30_22,169,H,169H,116,12,R15,W75,R15W75,1,B,R15W75_exp1B,7_17_22,A,10,30,S,A,A_10_30_S_A,A_10,3,4,4
06_29_22,07_07_22,232,D,232D,150,13,R11,W52,R11W52,2,A,R11W52_exp2A,8_4_22,A,10,20,F,A,A_10_20_F_A,A_10,3,4,4
06_29_22,07_07_22,217,F,217F,143,13,R6,W31,R6W31,2,B,R6W31_exp2B,8_9_22,A,10,20,S,S,A_10_20_S_S,A_10,1,4,4
