num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
10,09_01_22,3,A,1,1,B3,B3,-0.00455,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B29G65,3A,B29G65_exp3A,237,136,0
10,7_26_22,1,B,1,1,B3,B3,-0.00439,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B25G47,1B,B25G47_exp1B,182,36,0
10,08_15_22,2,A,1,1,B3,B3,-0.00297,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B29G65,2A,B29G65_exp2A,221,72,0
10,08_15_22,2,A,1,0,B3,B3,-0.00815,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B29G70,2A,B29G70_exp2A,205,72,0
10,09_01_22,3,A,1,0,B3,B3,-0.00558,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B29G70,3A,B29G70_exp3A,240,136,0
10,09_05_22,3,B,1,0,B3,B3,-0.00352,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,W4O23,3B,W4O23_exp3B,245,189,0
10,7_26_22,1,A,1,1,B3,B3,-0.00261,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B33G93,1A,B33G93_exp1A,144,7,0
11,08_20_22,2,B,1,0,C3,C3,-0.00625,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B14G14,2B,B14G14_exp2B,149,97,0
11,7_26_22,1,A,1,0,C3,C3,-0.00489,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B14G14,1A,B14G14_exp1A,168,1,0
11,09_01_22,3,A,1,0,C3,C3,-0.00252,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B13G8,3A,B13G8_exp3A,237,129,0
11,09_05_22,3,B,1,1,C3,C3,-0.00698,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,W4O24,3B,W4O24_exp3B,255,189,0
11,7_26_22,1,A,1,1,C3,C3,-0.00384,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B33G90,1A,B33G90_exp1A,155,7,0
11,09_01_22,3,A,1,1,C3,C3,-0.00892,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B29G71,3A,B29G71_exp3A,241,136,0
12,09_05_22,3,B,1,1,D3,D3,-0.00659,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,O1B2,3B,O1B2_exp3B,242,161,0
12,09_01_22,3,A,1,0,D3,D3,-0.00913,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B13G13,3A,B13G13_exp3A,240,129,0
12,7_26_22,1,A,1,0,D3,D3,-0.00293,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B14G21,1A,B14G21_exp1A,153,1,0
12,7_26_22,1,B,1,1,D3,D3,-0.00306,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B22G29,1B,B22G29_exp1B,183,34,0
12,09_05_22,3,B,1,0,D3,D3,-0.00475,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,O1B4,3B,O1B4_exp3B,245,161,0
12,08_15_22,2,A,1,0,D3,D3,-0.0056,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B13G10,2A,B13G10_exp2A,175,65,0
12,08_15_22,2,A,1,1,D3,D3,-0.00394,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B13G8,2A,B13G8_exp2A,226,65,0
13,08_15_22,2,A,1,1,A4,A4,-0.00479,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B13G13,2A,B13G13_exp2A,206,65,0
13,09_01_22,3,A,1,0,A4,A4,-0.0067,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B22G30,3A,B22G30_exp3A,237,130,0
13,7_26_22,1,A,1,1,A4,A4,-0.00275,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B14G20,1A,B14G20_exp1A,145,1,0
13,7_26_22,1,B,1,0,A4,A4,-0.00281,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B23G33,1B,B23G33_exp1B,166,35,0
13,09_01_22,3,A,1,1,A4,A4,-0.00521,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B13G10,3A,B13G10_exp3A,239,129,0
13,09_05_22,3,B,1,0,A4,A4,-0.00536,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,O2B7,3B,O2B7_exp3B,238,169,0
13,7_26_22,1,B,1,1,A4,A4,-0.0036,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B22G31,1B,B22G31_exp1B,171,34,0
13,08_20_22,2,B,1,0,A4,A4,-0.00207,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B15G22,2B,B15G22_exp2B,169,98,0
