num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged,red_day1,red_day11,red_delta
7,08_20_22,2,B,2,0,C2,C2,-0.00413,-0.050798893,0.050798893,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,Nitrate,1.5,20,F,S,G25Y47,2B,G25Y47_exp2B,171,105,0,105.3573752,93.38146416,-11.97591104
10,09_01_22,3,A,2,1,B3,B3,-0.00637,-0.110002581,0.110002581,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,Nitrate,1.5,20,S,S,G24Y43,3A,G24Y43_exp3A,239,138,0,105.5870135,107.5481514,1.961137922
22,08_15_22,2,A,3,1,B6,B6,-0.00291,-0.072482852,0.072482852,N_18_30_F_S,N_18_30_F_S,F_S,N_18,N,Nitrate,18,30,F,S,R14W74,2A,R14W74_exp2A,207,85,0,105.7181378,94.27021451,-11.4479233
24,09_05_22,3,B,2,1,D6,D6,NA,-0.17505085,0.17505085,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,Nitrate,5,20,F,S,O12Y5,3B,O12Y5_exp3B,256,164,0,106.3741225,94.20106167,-12.17306087
24,09_01_22,3,A,3,0,D6,D6,-0.00574,-0.092416536,0.092416536,N_18_30_S_S,N_18_30_S_S,S_S,N_18,N,Nitrate,18,30,S,S,R15W78,3A,R15W78_exp3A,239,150,0,106.4936075,122.1981729,15.70456532
8,08_20_22,2,B,3,0,D2,D2,-0.00408,-0.075857754,0.075857754,N_5_30_S_S,N_5_30_S_S,S_S,N_5,N,Nitrate,5,30,S,S,Y15B83,2B,Y15B83_exp2B,189,125,0,106.535402,126.6284618,20.09305982
12,08_15_22,2,A,1,0,D3,D3,-0.0056,-0.125491552,0.125491552,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B13G10,2A,B13G10_exp2A,175,65,0,106.9168053,125.4749982,18.55819292
13,08_15_22,2,A,1,1,A4,A4,-0.00479,-0.09637487,0.09637487,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B13G13,2A,B13G13_exp2A,206,65,0,107.5747632,92.87798436,-14.69677881
23,7_26_22,1,A,3,0,C6,C6,-0.00434,-0.131075436,0.131075436,N_18_30_S_A,N_18_30_S_A,S_A,N_18,N,Nitrate,18,30,S,A,R6W29,1A,R6W29_exp1A,151,22,0,107.6193887,104.0761581,-3.543230546
24,08_15_22,2,A,2,1,D6,D6,-0.00519,-0.117590743,0.117590743,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,Nitrate,5,20,F,S,Y3B29,2A,Y3B29_exp2A,206,93,0,107.8720919,153.8266605,45.95456858
4,09_05_22,3,B,3,1,D1,D1,-0.00498,-0.175831433,0.175831433,N_5_20_S_S,N_5_20_S_S,S_S,N_5,N,Nitrate,5,20,S,S,O13Y11,3B,O13Y11_exp3B,252,165,0,108.6622233,96.5266776,-12.13554569
8,09_01_22,3,A,2,1,D2,D2,-0.00772,-0.13591809,0.13591809,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,Nitrate,1.5,20,F,S,G23Y3130,3A,G23Y3130_exp3A,239,137,0,108.6946641,NA,NA
8,08_20_22,2,B,2,1,D2,D2,-0.00367,-0.178145396,0.178145396,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,Nitrate,1.5,20,F,S,G25Y49,2B,G25Y49_exp2B,223,105,0,109.0613777,115.9386128,6.87723506
17,08_15_22,2,A,1,0,A5,A5,-0.00584,-0.140611189,0.140611189,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B26G48,2A,B26G48_exp2A,193,70,0,109.2905171,141.0173552,31.72683807
19,7_26_22,1,A,3,1,C5,C5,-0.00533,-0.075586117,0.075586117,N_18_20_S_A,N_18_20_S_A,S_A,N_18,N,Nitrate,18,20,S,A,R5W22,1A,R5W22_exp1A,151,21,0,109.355505,94.28498916,-15.0705158
5,08_15_22,2,A,3,0,A2,A2,-0.00155,-0.027081657,0.027081657,N_5_30_F_A,N_5_30_F_A,F_A,N_5,N,Nitrate,5,30,F,A,Y12B62,2A,Y12B62_exp2A,186,89,0,109.8043272,112.8779024,3.073575125
5,08_20_22,2,B,3,0,A2,A2,-0.00284,-0.073018261,0.073018261,N_5_30_F_A,N_5_30_F_A,F_A,N_5,N,Nitrate,5,30,F,A,Y14B75,2B,Y14B75_exp2B,168,124,0,110.1736057,88.11936389,-22.05424181
24,7_26_22,1,A,2,0,D6,D6,-0.00585,-0.089304534,0.089304534,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,Nitrate,5,20,S,A,Y10B51,1A,Y10B51_exp1A,150,26,0,111.2138297,202.5035374,91.28970763
12,08_20_22,2,B,1,1,D3,D3,-0.00476,-0.171108015,0.171108015,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B14G15,2B,B14G15_exp2B,184,97,0,111.5000381,81.77878822,-29.72124985
10,08_20_22,2,B,2,1,B3,B3,-0.00465,-0.050002608,0.050002608,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,Nitrate,1.5,20,S,S,G27Y59,2B,G27Y59_exp2B,225,107,0,111.6162281,123.0921885,11.47596033
24,08_15_22,2,A,3,0,D6,D6,-0.00191,-0.05687305,0.05687305,N_18_30_S_S,N_18_30_S_S,S_S,N_18,N,Nitrate,18,30,S,S,R15W78,2A,R15W78_exp2A,193,86,0,112.2794415,145.0610492,32.78160772
9,09_01_22,3,A,2,0,A3,A3,-0.00401,-0.171212115,0.171212115,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,Nitrate,1.5,20,S,S,G24Y44,3A,G24Y44_exp3A,230,138,0,112.8160074,132.4830981,19.6670907
21,08_15_22,2,A,3,1,A6,A6,-0.00454,-0.115291612,0.115291612,N_18_30_F_A,N_18_30_F_A,F_A,N_18,N,Nitrate,18,30,F,A,R14W72,2A,R14W72_exp2A,228,85,0,112.9454841,137.0629004,24.11741635
