col_num,treat_ID_full,e_coli,abs_resp_rate_SA_corr,NO3_category,dose_level,temp,feed,symbiont,new_treat_ID_full
162,A_0_20_S_A,0,0.044656868,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
249,A_7.5_29_F_S,1,0.044668506,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
198,A_0_29_S_S,0,0.044756812,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
169,N_1.5_20_S_A,0,0.045254641,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
152,N_1.5_29_S_S,0,0.045884647,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic
198,A_10_29_S_A,1,0.046014825,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
150,N_1.5_20_S_S,0,0.046274552,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
144,A_0_29_S_S,1,0.046742469,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
238,N_1.5_29_F_A,0,0.04699213,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
232,A_5_20_F_A,1,0.047011818,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
167,A_5_29_F_A,0,0.047048562,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
170,A_5_29_F_A,0,0.047174971,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
163,N_18_29_F_S,0,0.047322927,Elevated,Elevated,29,Fed,Symbiotic,Elevated_29_Fed_Symbiotic
153,N_0_20_F_S,0,0.047530762,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
241,N_18_29_S_A,0,0.047758858,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic
238,N_1.5_20_S_A,1,0.047774835,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
175,A_5_29_S_A,1,0.047941039,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
171,N_0_29_F_S,1,0.048432338,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
142,N_1.5_29_F_S,0,0.048507601,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
233,A_7.5_20_S_A,1,0.04859749,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
252,A_0_20_F_S,1,0.048722678,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
248,A_0_29_F_S,0,0.048947417,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
195,A_7.5_20_F_A,0,0.049037021,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
247,A_7.5_29_F_A,1,0.04921182,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
221,A_5_29_S_A,0,0.049422545,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
226,A_7.5_29_S_A,0,0.049460207,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
166,A_5_20_F_S,0,0.049490708,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
166,A_0_20_F_S,0,0.049704348,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
169,N_1.5_20_F_A,1,0.049727235,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
165,N_1.5_29_F_A,1,0.04987734,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
225,N_1.5_20_S_S,1,0.050002608,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
198,A_7.5_29_F_S,0,0.050092879,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
171,A_7.5_29_F_A,0,0.050182969,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
238,N_1.5_20_F_A,0,0.050214155,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
221,A_7.5_29_F_S,1,0.050275385,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
226,A_10_29_S_A,0,0.050408161,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
244,A_5_20_F_A,1,0.050414523,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
238,N_0_20_S_A,0,0.05076774,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
171,N_1.5_20_F_S,0,0.050798893,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
152,N_5_29_S_S,0,0.050806969,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic
236,A_7.5_20_S_A,0,0.050906681,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
187,A_5_29_S_A,1,0.050957932,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
252,N_1.5_29_S_S,0,0.051208852,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic
178,A_5_20_F_A,1,0.051365621,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
155,A_5_20_F_S,1,0.051504402,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
176,A_10_20_F_S,1,0.051573327,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
164,N_0_29_F_A,0,0.051749498,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
206,N_0_29_F_S,0,0.051867893,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
239,N_18_29_F_S,0,0.052111178,Elevated,Elevated,29,Fed,Symbiotic,Elevated_29_Fed_Symbiotic
150,N_1.5_20_S_A,0,0.052184399,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
221,A_0_29_S_A,1,0.052223721,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
188,N_1.5_29_S_S,0,0.052383209,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic
198,A_7.5_20_F_S,0,0.052395757,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
238,A_10_29_S_A,1,0.052499874,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
171,A_5_20_S_A,0,0.052814245,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
240,A_0_29_F_S,0,0.052846542,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
241,A_5_29_S_S,0,0.053233623,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
155,A_0_20_F_S,1,0.053697984,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
243,N_18_29_S_S,1,0.05378537,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic
162,N_0_29_S_A,1,0.053819186,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
236,A_5_20_S_A,0,0.053920334,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
256,N_1.5_29_F_S,1,0.053923926,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
167,A_0_29_F_A,0,0.053979666,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
238,N_0_20_F_A,0,0.053992089,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
171,N_18_20_S_A,0,0.054008466,Elevated,Elevated,20,Starved,Aposymbiotic,Elevated_20_Starved_Aposymbiotic
184,A_0_29_F_A,1,0.054029232,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
163,N_18_20_F_A,0,0.054043364000000003,Elevated,Elevated,20,Fed,Aposymbiotic,Elevated_20_Fed_Aposymbiotic
232,A_7.5_29_F_A,0,0.054060883,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
194,N_18_29_S_A,0,0.054394773,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic
145,A_7.5_29_F_A,0,0.054938458,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
145,A_5_29_F_A,0,0.054986563,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
235,A_5_29_F_A,1,0.055065087,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
146,A_10_29_F_A,0,0.055268065,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
155,A_5_29_S_A,0,0.055828538,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
196,N_1.5_29_F_A,1,0.055942573,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
153,N_0_29_F_S,0,0.056036216,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
200,A_7.5_29_S_S,0,0.056703251,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
187,A_0_29_S_A,1,0.056790744,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
181,A_7.5_29_F_S,1,0.056825857,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
193,N_18_29_S_S,0,0.05687305,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic
193,N_18_29_F_S,0,0.057006346,Elevated,Elevated,29,Fed,Symbiotic,Elevated_29_Fed_Symbiotic
206,N_0_29_S_A,1,0.057115553,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
240,A_5_29_F_S,1,0.057164025,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
233,A_0_29_S_S,1,0.057410265,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
206,N_1.5_20_S_A,1,0.057497234,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
242,A_7.5_29_F_A,0,0.057606518,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
223,N_0_29_F_S,1,0.057669903,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
150,N_1.5_20_F_A,0,0.058067404,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
243,A_5_20_F_S,1,0.058091086,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
158,A_7.5_29_S_A,0,0.058328524,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
255,A_5_29_S_S,0,0.058555129,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
248,A_5_29_F_S,0,0.058769414,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
249,A_10_29_F_S,1,0.058776497,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
153,A_7.5_29_S_S,0,0.058912672,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
237,N_1.5_29_S_A,0,0.058971408,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic
235,A_0_20_S_A,0,0.059052104,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
245,A_5_29_F_A,1,0.059093275,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
173,A_0_20_F_S,1,0.059218376,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
160,A_5_29_F_A,1,0.059277214,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
250,A_0_20_S_S,1,0.059452658,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
193,N_1.5_29_S_A,0,0.059504617,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic
191,A_5_20_F_S,0,0.059562156,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
186,N_5_20_S_S,0,0.059721938,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
234,A_7.5_29_S_S,1,0.059867696,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
243,N_1.5_29_S_S,1,0.059992101,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic
167,A_5_29_S_S,0,0.060021205,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
147,N_1.5_20_F_S,0,0.060048299,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
226,A_0_29_F_S,1,0.060145569,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
182,A_0_29_S_S,1,0.060279868,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
246,N_5_29_F_S,1,0.060314205,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
245,N_0_29_F_S,1,0.060432821,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
168,N_5_20_S_A,1,0.060657881,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
226,N_1.5_29_F_A,1,0.060803233,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
233,A_7.5_29_S_S,1,0.061492714,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
242,A_0_29_F_A,0,0.06151389,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
169,A_10_29_S_A,0,0.061659438,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
153,A_0_20_S_S,1,0.061849482,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
248,A_5_20_S_S,0,0.06211029,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
157,N_1.5_20_F_A,0,0.062114904,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
245,N_1.5_20_F_S,0,0.062290549,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
167,A_10_29_F_S,0,0.062342832,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
252,N_0_20_S_S,1,0.06259847,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
153,A_7.5_20_F_A,1,0.062696415,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
256,N_0_20_F_S,1,0.062743848,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
223,N_5_20_F_S,1,0.062798534,Elevated,Elevated,20,Fed,Symbiotic,Elevated_20_Fed_Symbiotic
243,N_5_29_S_S,1,0.062915585,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic
237,N_1.5_29_F_A,0,0.063278597,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
153,N_5_29_F_S,1,0.063307962,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
184,N_5_20_S_A,1,0.063307991,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
237,N_0_20_F_A,0,0.063596661,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
165,N_5_29_F_A,0,0.06375248,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
152,A_10_20_F_S,1,0.064021807,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
240,A_5_20_S_S,0,0.064168411,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
247,A_0_20_F_S,0,0.064186463,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
185,N_1.5_29_F_S,1,0.064213626,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
167,A_5_20_F_A,0,0.064424359,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
242,N_0_20_S_A,1,0.064425297,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
242,N_0_29_F_A,1,0.064516721,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
252,A_0_29_F_S,1,0.064537326,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
212,N_1.5_29_S_A,1,0.064711383,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic
167,A_7.5_29_F_S,0,0.064860262,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
154,N_0_29_S_S,0,0.064881032,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
182,A_5_20_S_S,1,0.064998533,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
218,A_5_29_S_S,1,0.06505312,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
222,A_5_29_S_S,1,0.065063913,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
243,A_5_29_F_S,1,0.065148121,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
171,N_5_29_S_A,0,0.065156361,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic
161,N_0_29_F_S,0,0.065222865,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
196,A_0_29_F_S,0,0.065238671,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
151,A_5_20_F_S,0,0.065268728,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
160,N_1.5_20_F_S,0,0.065666701,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
142,N_5_20_F_S,0,0.06590733,Elevated,Elevated,20,Fed,Symbiotic,Elevated_20_Fed_Symbiotic
240,A_5_29_S_S,1,0.066041758,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
197,N_5_29_F_A,1,0.066120004,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
170,N_5_29_S_A,0,0.066393135,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic
235,A_10_20_F_A,0,0.066711226,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
185,N_5_20_F_S,0,0.067014246,Elevated,Elevated,20,Fed,Symbiotic,Elevated_20_Fed_Symbiotic
153,N_18_29_F_S,1,0.067149643,Elevated,Elevated,29,Fed,Symbiotic,Elevated_29_Fed_Symbiotic
238,N_5_29_F_A,0,0.067227976,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
171,N_0_29_S_A,1,0.06725436,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
241,A_0_20_S_S,1,0.067488558,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
198,A_5_29_F_S,0,0.067492114,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
241,A_5_20_S_S,1,0.067553006,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
252,A_10_29_S_S,1,0.067572761,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
169,N_0_20_S_A,0,0.06793794,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
245,N_0_20_F_S,0,0.068002814,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
208,N_1.5_20_S_S,0,0.068009724,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
204,N_5_20_S_A,1,0.068218935,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
144,A_7.5_29_F_S,1,0.06843175,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
250,A_0_29_S_A,1,0.06849735,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
