col_num,treat_ID_full,red_delta,red_percent_change,NO3_category,dose_level,temp,feed,symbiont,new_treat_ID_full,dose_level_x_temp,dose_level_x_feed,dose_level_x_symbiont,temp_x_feed,temp_x_symbiont,feed_x_symbiont,dose_level_x_temp_x_feed,dose_level_x_temp_x_symbiont,dose_level_x_feed_x_symbiont,temp_x_feed_x_symbiont,dose_level_x_temp_x_feed_x_symbiont
237,A_0_20_S_A,-16.30947617,-8.251669966,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,20-x-Starved,20-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-Aposymbiotic
233,A_0_20_S_A,-30.52713557,-14.40458376,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,20-x-Starved,20-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-Aposymbiotic
237,A_0_20_S_A,-20.68142217,-13.64202553,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,20-x-Starved,20-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-Aposymbiotic
169,A_0_29_S_A,27.2655829,19.334678,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic,Low-x-29,Low-x-Starved,Low-x-Aposymbiotic,29-x-Starved,29-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-29-x-Starved,Low-x-29-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,29-x-Starved-x-Aposymbiotic,Low-x-29-x-Starved-x-Aposymbiotic
174,N_0_29_F_A,15.07820098,16.04716445,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic,Low-x-29,Low-x-Fed,Low-x-Aposymbiotic,29-x-Fed,29-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-29-x-Fed,Low-x-29-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,29-x-Fed-x-Aposymbiotic,Low-x-29-x-Fed-x-Aposymbiotic
226,N_0_29_F_A,16.73688199,10.96852721,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic,Low-x-29,Low-x-Fed,Low-x-Aposymbiotic,29-x-Fed,29-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-29-x-Fed,Low-x-29-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,29-x-Fed-x-Aposymbiotic,Low-x-29-x-Fed-x-Aposymbiotic
181,A_0_29_S_A,19.22032428,11.66740319,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic,Low-x-29,Low-x-Starved,Low-x-Aposymbiotic,29-x-Starved,29-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-29-x-Starved,Low-x-29-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,29-x-Starved-x-Aposymbiotic,Low-x-29-x-Starved-x-Aposymbiotic
201,N_0_29_F_A,6.08471126,3.320530559,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic,Low-x-29,Low-x-Fed,Low-x-Aposymbiotic,29-x-Fed,29-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-29-x-Fed,Low-x-29-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,29-x-Fed-x-Aposymbiotic,Low-x-29-x-Fed-x-Aposymbiotic
237,N_0_29_F_A,5.255210892,3.255126383,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic,Low-x-29,Low-x-Fed,Low-x-Aposymbiotic,29-x-Fed,29-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-29-x-Fed,Low-x-29-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,29-x-Fed-x-Aposymbiotic,Low-x-29-x-Fed-x-Aposymbiotic
187,A_0_29_S_A,6.157335945,4.237982559,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic,Low-x-29,Low-x-Starved,Low-x-Aposymbiotic,29-x-Starved,29-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-29-x-Starved,Low-x-29-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,29-x-Starved-x-Aposymbiotic,Low-x-29-x-Starved-x-Aposymbiotic
