,row_number,exp_num,subrun,N_species,N_dose,temp,row_number.1,food,sym_state,treat_ID,beetag,image_day,beetag_day_concat,image_name,beetag_exprun_day,CoralR,CoralG,CoralB,RedR,RedG,RedB,GreenR,GreenG,GreenB,BlueR,BlueG,BlueB,Red,Green,Blue,QC_or_no
173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,60,3,B,A,5,20,60,F,A,A_5_20_F_A,O10G15,11,O10G15_day11,O10G15_3B_day11.JPG,O10G15_exp3B_day11,164.0919,157.2432,152.8566,217.4421,39.04386,56.55598,100.7802,170.9785,65.74154,143.6917,185.0232,220.3923,0.2704,0.26945,0.5438,1
176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,61,3,B,A,7.5,30,61,S,S,A_7.5_30_S_S,W14O63,11,W14O63_day11,W13O57_3B_day11.JPG,W14O63_exp3B_day11,130.8946,120.3324,91.29571,217.4642,39.31047,55.4842,101.7215,180.6085,65.05612,134.2017,180.9711,220.4419,0.28465,0.37075,0.23309,1
179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,62,1,A,A,0,20,62,S,S,CNTRL_20_S_S,B34G3310,11,B34G3310_day11,B34G33_1A_day11.JPG,B34G3310_exp1A_day11,102.4317,68.75331,47.00024,217.6301,47.82048,57.54548,92.36089,167.969,60.00365,157.2259,200.4177,236.9782,0.3239,0.24977,0.056438,1
182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,63,1,B,A,7.5,20,63,S,A,A_7.5_20_S_A,Y23B1026,11,Y23B1026_day11,Y23B10_1B_day11.JPG,Y23B1026_exp1B_day11,170.4616,156.4014,139.8759,218.1868,35.57074,49.01237,95.41954,165.7912,61.13181,130.284,169.6846,205.4247,0.32542,0.36828,0.49367,1
185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,64,1,B,A,7.5,20,64,S,S,A_7.5_20_S_S,Y23B1927,11,Y23B1927_day11,Y23B19_1B_day11.JPG,Y23B1927_exp1B_day11,176.2184,110.4099,68.94532,218.246,45.28507,55.43331,101.1853,170.1813,61.51592,151.7382,190.8152,217.1099,0.56873,0.44583,0.046028,1
188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,65,2,B,A,7.5,30,65,S,S,A_7.5_30_S_S,Y21B6232,11,Y21B6232_day11,Y21B62_2B_day11.JPG,Y21B6232_exp2B_day11,142.3651,85.77939,54.419,218.6396,41.41983,52.98541,99.91163,166.7674,54.87666,137.3462,170.8565,201.1295,0.45925,0.34291,0.056023,1
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,66,2,B,A,7.5,30,66,S,A,A_7.5_30_S_A,Y21B5628,11,Y21B5628_day11,Y21B56_2B_day11..JPG,Y21B5628_exp2B_day11,157.9334,84.70373,76.32508,219.3057,42.02223,49.56327,112.5213,175.4771,54.18095,154.5676,185.8989,205.0642,0.49894,0.13425,0.21614,1
194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,67,1,A,A,10,30,67,F,A,A_10_30_F_A,R12W56,11,R12W56_day11,R12W56_1A_day11.JPG,R12W56_exp1A_day11,121.3921,112.5347,120.5678,219.4628,38.20757,60.00232,105.2328,175.1267,83.24149,134.123,170.521,221.5627,0.20664,0.19259,0.41585,1
197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,68,1,B,A,7.5,20,68,S,S,A_7.5_20_S_S,Y23B3299,1,Y23B3299_day1,Y23B32_1B_day1.JPG,Y23B3299_exp1B_day1,126.8026,83.43982,55.2207,220.3873,57.139,64.76283,113.9196,176.8501,72.05151,133.3731,163.5586,189.8977,0.39178,0.30791,0.040349,1
200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,69,3,B,A,5,20,69,F,A,A_5_20_F_A,O10G14,11,O10G14_day11,O10G14_3B_day11.JPG,O10G14_exp3B_day11,152.1032,123.1492,110.9393,220.4201,36.34876,48.59631,98.26414,167.7998,46.24034,140.2751,178.3893,204.7462,0.32726,0.22313,0.41377,1
203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
