,row_number,exp_num,subrun,N_species,N_dose,temp,row_number.1,food,sym_state,treat_ID,beetag,image_day,beetag_day_concat,image_name,beetag_exprun_day,CoralR,CoralG,CoralB,RedR,RedG,RedB,GreenR,GreenG,GreenB,BlueR,BlueG,BlueB,Red,Green,Blue,QC_or_no
1373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1375,461,2,A,A,10,20,461,S,A,A_10_20_S_A,R13W63,1,R13W63_day1,R13W63_2A_day1.JPG,R13W63_exp2A_day1,124.1309,82.29173,54.34432,221.8773,50.83816,63.71911,102.1213,168.3577,71.14528,138.6163,175.0766,212.2595,0.38439,0.34764,0.024114,0
1376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378,462,2,A,A,10,20,462,S,S,A_10_20_S_S,R13W64,1,R13W64_day1,R13W64_2A_day1.JPG,R13W64_exp2A_day1,190.5297,166.5239,147.021,185.4142,28.68328,40.1822,65.57119,134.0318,46.16677,105.9286,147.4831,181.8359,0.52546,0.51075,0.56274,0
1379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1381,463,2,A,A,10,20,463,S,S,A_10_20_S_S,R13W65,1,R13W65_day1,R13W65_2A_day1.JPG,R13W65_exp2A_day1,142.6539,88.3201,65.18493,209.2932,49.19068,57.51589,99.72293,167.0094,68.1845,127.7463,167.6148,200.9522,0.48712,0.30287,0.082193,0
1382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1384,464,2,A,A,10,20,464,S,A,A_10_20_S_A,R13W67,1,R13W67_day1,R13W67_2A_day1.JPG,R13W67_exp2A_day1,139.1584,91.90452,66.41472,229.9721,53.25304,61.80216,108.9502,169.0455,64.1381,148.6003,178.4084,203.8169,0.38913,0.30201,0.11282,0
1385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1387,465,2,A,A,10,30,465,F,A,A_10_30_F_A,R17W80,1,R17W80_day1,R17W80_2A_day1.JPG,R17W80_exp2A_day1,121.4601,77.5809,47.53733,226.5044,25.92915,41.41922,106.9092,166.3299,41.40788,151.1378,176.7032,200.8807,0.32183,0.30134,0.10817,0
1388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1390,466,2,A,A,10,30,466,F,A,A_10_30_F_A,R17W82,1,R17W82_day1,R17W82_2A_day1.JPG,R17W82_exp2A_day1,118.5573,87.28397,53.80849,192.1293,16.9736,31.51313,83.92647,146.1351,40.8564,126.3626,162.0954,190.5103,0.35003,0.40356,0.138,0
1391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393,467,2,A,A,10,30,467,F,A,A_10_30_F_A,R17W83,1,R17W83_day1,R17W83_2A_day1.JPG,R17W83_exp2A_day1,187.0784,174.9391,156.73,193.1084,19.14423,36.72411,77.33932,144.9062,44.99195,119.2084,154.6784,193.4684,0.38771,0.49198,0.6221,0
1394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,468,2,A,A,10,30,468,F,S,A_10_30_F_S,R17W84,1,R17W84_day1,R17W84_2A_day1.JPG,R17W84_exp2A_day1,164.2415,102.1609,56.80139,205.6389,15.1145,25.82385,87.86461,143.9301,25.4552,141.1998,166.3292,182.8632,0.48241,0.45154,0.17964,0
1397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1399,469,2,A,A,10,30,469,F,S,A_10_30_F_S,R17W85,1,R17W85_day1,R17W85_2A_day1.JPG,R17W85_exp2A_day1,137.941,85.00597,60.11613,214.8207,22.2498,37.38929,97.62046,164.1365,45.12786,128.3584,161.4705,192.7927,0.40754,0.30355,0.16173,0
1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1402,470,2,A,A,10,30,470,S,S,A_10_30_S_S,R21W100,1,R21W100_day1,R21W100_2A_day1.JPG,R21W100_exp2A_day1,124.2903,56.93385,28.51426,214.8952,23.23691,35.24992,102.7856,163.676,39.5865,139.5911,168.9127,189.4269,0.4401,0.27353,0.011471,0
1403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,471,2,A,A,10,30,471,S,S,A_10_30_S_S,R21W55,1,R21W55_day1,R21W55_2A_day1.JPG,R21W55_exp2A_day1,115.9293,51.37915,16.9546,206.7152,20.8862,31.01352,86.07865,150.8436,35.62335,120.206,154.0814,182.053,0.45256,0.32691,-0.04794,0
1406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408,472,2,A,A,10,30,472,S,A,A_10_30_S_A,R21W94,1,R21W94_day1,R21W94_2A_day1.JPG,R21W94_exp2A_day1,156.4543,112.0959,75.41372,215.7252,23.03949,36.21596,114.4196,180.5257,54.01989,132.4579,165.3202,192.2299,0.39547,0.37627,0.21207,0
1409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1411,473,2,A,A,10,30,473,S,A,A_10_30_S_A,R21W95,1,R21W95_day1,R21W95_2A_day1.JPG,R21W95_exp2A_day1,150.0558,105.4652,55.93119,216.2276,23.18378,41.14713,98.47202,166.6839,53.20563,138.4004,173.0919,209.5897,0.42407,0.52021,0.051547,0
1412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1414,474,2,A,A,10,30,474,S,A,A_10_30_S_A,R21Y97,1,R21Y97_day1,R21W97_2A_day1.JPG,R21Y97_exp2A_day1,163.1332,129.0011,107.0118,202.4715,24.63695,37.26608,81.29019,157.6267,46.19358,125.4313,168.1535,205.3576,0.43573,0.36675,0.35953,0
1415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1417,475,2,A,A,7.5,30,475,F,A,A_7.5_30_F_A,Y20B100,1,Y20B100_day1,Y20B100_2A_day1.JPG,Y20B100_exp2A_day1,118.3525,107.8488,83.11944,195.0041,24.16526,36.60128,90.42065,161.2753,50.2802,137.2746,176.8518,206.4227,0.2608,0.32583,0.27706,0
1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1420,476,2,A,A,7.5,30,476,F,S,A_7.5_30_F_S,Y20B17,1,Y20B17_day1,Y20B17_2A_day1.JPG,Y20B17_exp2A_day1,125.4223,65.25855,27.95331,199.3622,20.85612,34.77017,84.74281,152.4773,39.61389,115.5798,151.0807,187.6241,0.47825,0.38286,-0.02048,0
1421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1423,477,2,A,A,7.5,30,477,F,S,A_7.5_30_F_S,Y20B21,1,Y20B21_day1,Y20B21_2A_day1.JPG,Y20B21_exp2A_day1,142.2057,77.02934,43.35733,198.8676,8.659976,20.718,91.009,143.3552,21.23767,136.4654,158.5644,178.5515,0.45493,0.34504,0.149,0
1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1426,478,2,A,A,7.5,30,478,F,A,A_7.5_30_F_A,Y20B95,1,Y20B95_day1,Y20B95_2A_day1.JPG,Y20B95_exp2A_day1,95.4088,61.7021,49.5203,243.3553,33.45295,42.14984,132.1302,191.1178,46.46101,171.5439,192.6049,206.152,0.20956,0.11291,0.17192,0
1427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1429,479,2,A,A,7.5,30,479,F,A,A_7.5_30_F_A,Y20B97,1,Y20B97_day1,Y20B97_2A_day1.JPG,Y20B97_exp2A_day1,152.0539,118.0975,87.84259,212.3603,37.57428,49.06569,76.30185,146.4394,45.33395,120.9115,159.7439,198.1407,0.42295,0.43786,0.23842,0
1430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1432,480,2,A,A,7.5,20,480,F,A,A_7.5_20_F_A,Y7B40,1,Y7B40_day1,Y7B40_2A_day1.JPG,Y7B40_exp2A_day1,152.3855,138.0401,124.7697,185.4774,23.07565,46.46363,80.71809,147.2257,65.02928,123.5583,162.643,214.0037,0.37349,0.48859,0.35347,0
1433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1435,481,2,A,A,7.5,20,481,F,A,A_7.5_20_F_A,Y7B41,1,Y7B41_day1,Y7B41_2A_day1.JPG,Y7B41_exp2A_day1,117.6146,69.74991,43.69606,205.0758,37.7263,52.80317,76.65371,140.7626,47.28058,123.4665,163.5513,197.2749,0.42746,0.35554,0.021874,0
1436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1438,482,2,A,A,7.5,20,482,F,A,A_7.5_20_F_A,Y7B42,1,Y7B42_day1,Y7B42_2A_day1.JPG,Y7B42_exp2A_day1,158.2378,149.2411,131.6994,172.2138,18.50159,38.55953,77.97779,148.7431,64.728,106.2389,143.9257,186.7195,0.40941,0.52928,0.4373,0
1439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1441,483,2,A,A,7.5,20,483,F,S,A_7.5_20_F_S,Y7B43,1,Y7B43_day1,Y7B43_2A_day1.JPG,Y7B43_exp2A_day1,153.5062,97.77788,71.0569,210.729,38.92991,47.59224,104.4598,169.4173,59.95068,144.2888,179.1133,205.4364,0.47312,0.31617,0.14401,0
1442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1444,484,2,A,A,7.5,20,484,F,S,A_7.5_20_F_S,Y7B44,1,Y7B44_day1,Y7B44_2A_day1.JPG,Y7B44_exp2A_day1,125.3799,69.49959,38.36335,196.2305,29.85658,38.39496,100.2927,162.2723,48.20038,129.9863,158.2763,183.4216,0.45808,0.31402,0.030746,0
1445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1447,485,2,A,A,7.5,20,485,S,A,A_7.5_20_S_A,Y8B45,1,Y8B45_day1,Y8B45_2A_day1.JPG,Y8B45_exp2A_day1,86.4458,53.9133,46.5973,228.0545,49.29771,59.27417,115.6719,184.378,70.99183,144.8515,177.2399,206.7828,0.24739,0.11614,0.11456,0
1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1450,486,2,A,A,7.5,20,486,S,A,A_7.5_20_S_A,Y8B46,1,Y8B46_day1,Y8B46_2A_day1.JPG,Y8B46_exp2A_day1,153.6598,107.9612,68.04969,219.5142,41.49566,51.80493,101.481,159.901,51.69789,148.7411,179.2784,206.0859,0.41994,0.43734,0.11493,0
1451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453,487,2,A,A,7.5,20,487,S,A,A_7.5_20_S_A,Y8B47,1,Y8B47_day1,Y8B47_2A_day1.JPG,Y8B47_exp2A_day1,110.1586,74.52153,48.18477,206.8678,41.60693,58.96193,100.3626,173.0004,73.95002,133.2619,174.9237,212.3676,0.36459,0.33339,0.009574,0
1454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1456,488,2,A,A,7.5,20,488,S,S,A_7.5_20_S_S,Y8B48,1,Y8B48_day1,Y8B48_2A_day1.JPG,Y8B48_exp2A_day1,124.348,73.677,57.89271,216.4373,47.65713,56.77088,95.35514,165.6804,56.33202,142.5637,179.1263,209.3245,0.41078,0.20869,0.109,0
1457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1459,489,2,A,A,7.5,20,489,S,S,A_7.5_20_S_S,Y8B49,1,Y8B49_day1,Y8B49_2A_day1.JPG,Y8B49_exp2A_day1,145.0716,93.02904,60.17351,210.5153,45.76508,52.06047,107.6048,172.755,61.40339,152.6014,187.3052,212.8712,0.46455,0.33777,0.071633,0
1460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1462,490,2,B,A,0,20,490,F,A,CNTRL_20_F_A,B27G53,1,B27G53_day1,B27G53_2B_day1.JPG,B27G53_exp2B_day1,176.263,111.8384,92.90979,219.548,35.23742,47.09186,115.4148,176.2629,52.43239,149.9273,180.46,200.8371,0.47811,0.24575,0.28635,0
1463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1465,491,2,B,A,0,20,491,F,A,CNTRL_20_F_A,B27G54,1,B27G54_day1,B27G54_2B_day1.JPG,B27G54_exp2B_day1,148.1916,131.6238,92.63,200.3684,28.16301,42.4122,88.53,158.8116,52.84143,118.3072,158.1385,194.5086,0.36274,0.50588,0.2597,0
1466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1468,492,2,B,A,0,20,492,F,S,CNTRL_20_F_S,B27G55,1,B27G55_day1,B27G55_2B_day1.JPG,B27G55_exp2B_day1,147.3428,83.96436,54.53548,237.3299,40.81795,49.62912,107.1118,168.5337,46.41579,140.5066,170.1922,193.8878,0.42903,0.29166,0.10163,0
1469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1471,493,2,B,A,0,20,493,F,S,CNTRL_20_F_S,B27G56,1,B27G56_day1,B27G56_2B_day1.JPG,B27G56_exp2B_day1,95.9895,44.159,19.941,221.5378,32.09209,45.12179,110.1994,168.8126,46.31286,126.5597,151.1907,176.3036,0.33947,0.22696,-0.0334,0
1472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1474,494,2,B,A,0,20,494,F,S,CNTRL_20_F_S,B27G57,1,B27G57_day1,B27G57_2B_day1.JPG,B27G57_exp2B_day1,152.3036,106.0988,49.9366,200.5474,17.84041,33.3946,103.3536,166.0223,52.18357,138.2678,172.0992,198.7678,0.45069,0.56151,0.028095,0
1475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1477,495,2,B,A,0,20,495,S,A,CNTRL_20_S_A,B30G72,1,B30G72_day1,B30G72_2B_day1.JPG,B30G72_exp2B_day1,197.1658,174.8588,146.1425,189.1849,15.43207,32.16053,99.24695,165.3484,62.71147,109.9825,144.3994,180.3722,0.44217,0.54213,0.5429,0
1478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1480,496,2,B,A,0,20,496,S,A,CNTRL_20_S_A,B30G73,1,B30G73_day1,B30G73_2B_day1.JPG,B30G73_exp2B_day1,139.9094,74.67944,54.90519,197.0451,25.91154,34.66418,90.22615,148.5158,42.27504,131.3384,162.9311,183.9371,0.49533,0.25587,0.14634,0
1481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1483,497,2,B,A,0,20,497,S,S,CNTRL_20_S_S,B30G74,1,B30G74_day1,B30G74_2B_day1.JPG,B30G74_exp2B_day1,108.7148,55.00985,34.5851,225.0181,46.86832,53.47759,120.611,179.9837,55.43775,136.0713,164.0636,186.2298,0.36785,0.18782,0.02417,0
1484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1486,498,2,B,A,0,20,498,S,S,CNTRL_20_S_S,B30G75,1,B30G75_day1,B30G75_2B_day1.JPG,B30G75_exp2B_day1,125.6366,74.88676,43.30127,226.0441,43.77177,58.57204,113.9873,173.1533,66.56048,148.7001,182.872,210.6576,0.38881,0.34712,-0.01223,0
1487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1489,499,2,B,A,0,20,499,S,S,CNTRL_20_S_S,B30G76,1,B30G76_day1,B30G76_2B_day1.JPG,B30G76_exp2B_day1,93.965,52.2859,39.3469,186.6132,17.51522,30.60461,114.8137,180.2629,60.5099,152.9071,186.52,208.5546,0.3275,0.16111,0.093861,0
1490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1492,500,2,B,A,0,30,500,S,A,CNTRL_30_S_A,B34G100,1,B34G100_day1,B34G100_2B_day1.JPG,B34G100_exp2B_day1,130.2745,109.7336,82.14157,200.421,45.17667,59.40603,103.5461,172.7923,68.48611,119.1862,157.0374,194.7084,0.34563,0.37795,0.18348,0
